complex_id,direction,alpha,meanL_mpnn,meanL_esmif,meanL_mif
1CZ8_HL_VW,random,2.0,-0.0584,-0.4736,-0.528
1DAN_HL_UT,L,2.0,0.2361,0.0674,0.0068
1DAN_HL_UT,random,2.0,-0.4303,-0.6668,-0.423
1DQJ_AB_C,L,2.0,0.5235,0.351,-0.0085
1DQJ_AB_C,random,2.0,0.127,0.3259,-0.0367
1DVF_AB_CD,L,2.0,0.304,0.1824,0.184
1DVF_AB_CD,random,2.0,-0.1903,-0.42,-0.3883
1E50_A_B,L,2.0,0.6791,0.6077,0.6393
1E50_A_B,random,2.0,-0.1963,-0.3435,-0.1993
1E96_A_B,L,2.0,0.2663,0.4813,-0.0243
1E96_A_B,random,2.0,-0.6198,-0.4081,-0.7574
1EAW_A_B,L,2.0,0.6893,0.7908,0.5803
1EAW_A_B,random,2.0,0.2264,0.6319,-0.0013
1EFN_A_B,L,2.0,0.4248,-0.3383,0.2575
1EFN_A_B,random,2.0,-0.7122,-1.8353,-0.7776
1EMV_A_B,L,2.0,0.7354,0.2663,0.3435
1EMV_A_B,random,2.0,-0.047,-0.6673,-0.73
1F47_A_B,L,2.0,0.2301,-0.556,-0.6947
1F47_A_B,random,2.0,-0.4414,-1.1589,-1.8346
1F5R_A_I,L,2.0,0.5777,0.3577,0.5439
1F5R_A_I,random,2.0,-0.1924,-0.3844,-0.2071
1FC2_C_D,L,2.0,0.6236,-0.159,0.1006
1FC2_C_D,random,2.0,-0.1445,-0.7796,-0.6259
1FCC_A_C,L,2.0,0.5417,0.0116,0.2915
1FCC_A_C,random,2.0,0.0546,-0.1673,-0.0298
1FFW_A_B,L,2.0,0.3435,-0.1826,0.1953
1FFW_A_B,random,2.0,-0.7323,-2.267,-1.4125
1FR2_A_B,L,2.0,0.7237,0.0403,0.3108
1FR2_A_B,random,2.0,-0.2996,-1.2729,-1.1508
1FSS_A_B,L,2.0,0.4032,-0.1066,-0.0232
1FSS_A_B,random,2.0,-0.2967,-0.8732,-0.3987
1FY8_E_I,L,2.0,0.5744,0.1727,0.7106
1FY8_E_I,random,2.0,0.1191,0.1096,0.316
1GC1_G_C,L,2.0,0.4974,0.1958,0.3027
1GC1_G_C,random,2.0,-0.1547,-0.461,-0.2013
1GCQ_AB_C,L,2.0,0.1311,-0.1343,0.2224
1GCQ_AB_C,random,2.0,-0.5578,-1.3973,-0.4446
1GL0_E_I,L,2.0,0.9923,0.4982,0.6898
1GL0_E_I,random,2.0,0.1801,-0.3072,0.0783
1GL1_A_I,L,2.0,1.2306,0.5427,1.0667
1GL1_A_I,random,2.0,0.191,-0.1085,0.3885
1GRN_A_B,L,2.0,0.5147,0.6488,0.3057
1GRN_A_B,random,2.0,-0.2375,0.2291,-0.388
1GUA_A_B,L,2.0,0.6083,0.2189,-0.0881
1GUA_A_B,random,2.0,0.0207,-0.4118,-0.7019
1H9D_A_B,L,2.0,0.4878,0.0957,0.0731
1H9D_A_B,random,2.0,-0.1759,-0.5108,-0.3572
1IAR_A_B,L,2.0,0.2682,-0.1352,-0.3595
1IAR_A_B,random,2.0,-0.4598,-1.1239,-1.0371
1JCK_A_B,L,2.0,0.6977,0.4612,0.5366
1JCK_A_B,random,2.0,-0.0533,-0.3634,-0.0422
1JRH_LH_I,L,2.0,0.2604,-0.0007,-0.0976
1JRH_LH_I,random,2.0,-0.3743,-0.5153,-0.3637
1JTD_A_B,L,2.0,0.698,0.4397,0.3733
1JTD_A_B,random,2.0,0.1469,0.1358,-0.0232
1JTG_A_B,L,2.0,0.8216,0.3274,0.4851
1JTG_A_B,random,2.0,0.0332,-0.2385,-0.016
1K8R_A_B,L,2.0,0.1922,0.4574,0.1739
1K8R_A_B,random,2.0,-0.2351,-0.0107,0.0715
1KAC_A_B,L,2.0,0.3975,0.0643,0.2494
1KAC_A_B,random,2.0,-0.3308,-0.4778,-0.2542
1KIP_AB_C,L,2.0,0.5849,0.6806,0.3574
1KIP_AB_C,random,2.0,-0.2922,0.1206,-0.1604
1KIQ_AB_C,L,2.0,0.6226,0.6132,0.3702
1KIQ_AB_C,random,2.0,-0.0268,-0.1304,0.0964
1KIR_AB_C,L,2.0,0.5982,0.3881,0.2986
1KIR_AB_C,random,2.0,0.0577,-0.0308,0.2635
1KNE_A_P,L,2.0,0.6423,0.1533,-0.5361
1KNE_A_P,random,2.0,-0.2768,-0.425,-1.2771
1KTZ_A_B,L,2.0,0.3153,-0.4794,-0.0565
1KTZ_A_B,random,2.0,-0.4988,-1.1901,-0.7896
1LFD_A_B,L,2.0,0.4191,0.5291,-0.0839
1LFD_A_B,random,2.0,-0.3806,-0.1561,-0.6698
1M9E_A_D,L,2.0,0.5043,0.8523,0.2682
1M9E_A_D,random,2.0,-0.3583,0.3642,-0.3328
1MAH_A_F,L,2.0,0.5577,0.163,0.2806
1MAH_A_F,random,2.0,-0.3597,-0.6221,-0.4844
1MHP_HL_A,L,2.0,0.7561,0.0413,-0.0253
1MHP_HL_A,random,2.0,-0.0106,-0.7981,-0.6485
1MLC_AB_E,L,2.0,0.9161,0.8264,0.5849
1MLC_AB_E,random,2.0,0.118,0.0853,-0.1106
1MQ8_A_B,L,2.0,0.4117,-0.0869,-0.0948
1MQ8_A_B,random,2.0,-0.1805,-0.365,-0.2168
1N8O_ABC_E,L,2.0,1.0141,0.5751,0.5384
1N8O_ABC_E,random,2.0,-0.12,-0.1906,-0.0881
1NMB_N_LH,L,2.0,0.8896,0.432,-0.0087
1NMB_N_LH,random,2.0,-0.2294,-0.4892,-0.7836
1OHZ_A_B,L,2.0,0.2187,0.0008,-0.3159
1OHZ_A_B,random,2.0,-0.7887,-1.0129,-1.3362
1P69_A_B,L,2.0,0.4277,0.0017,0.1697
1P69_A_B,random,2.0,-0.3197,-0.3943,-0.2043
1P6A_A_B,L,2.0,0.2957,-0.1291,0.1688
1P6A_A_B,random,2.0,-0.3737,-0.6956,-0.3856
1PPF_E_I,L,2.0,0.7406,0.2674,0.4733
1PPF_E_I,random,2.0,-0.2822,-0.7136,-0.4013
1QAB_ABCD_E,L,2.0,0.5313,0.4104,0.2571
1QAB_ABCD_E,random,2.0,0.0129,0.1512,-0.0848
1R0R_E_I,L,2.0,0.8683,0.9031,1.0934
1R0R_E_I,random,2.0,-0.0874,0.0246,-0.0734
1REW_AB_C,L,2.0,0.3407,-0.0131,-0.1135
1REW_AB_C,random,2.0,-0.4496,-1.0054,-0.7058
1S0W_A_C,L,2.0,1.0184,0.5568,0.6074
1S0W_A_C,random,2.0,0.2574,0.0143,0.0512
1S1Q_A_B,L,2.0,0.178,0.9152,-0.0696
1S1Q_A_B,random,2.0,-0.5255,1.047,-0.5704
1SBB_A_B,L,2.0,0.684,0.7313,0.3765
1SBB_A_B,random,2.0,-0.2751,-0.0107,-0.2621
1SBN_E_I,L,2.0,0.9446,0.7205,0.566
1SBN_E_I,random,2.0,0.2506,-0.0436,-0.2797
1SGD_E_I,L,2.0,1.0124,0.4277,0.6172
1SGD_E_I,random,2.0,-0.0408,-0.7058,-0.1697
1SGE_E_I,L,2.0,1.0582,0.6152,0.632
1SGE_E_I,random,2.0,0.0221,-0.9846,-0.3598
1SGN_E_I,L,2.0,0.9857,0.137,0.6935
1SGN_E_I,random,2.0,-0.0889,-0.4865,-0.2727
1SGP_E_I,L,2.0,0.7183,0.6169,0.534
1SGP_E_I,random,2.0,-0.4246,-1.0074,-0.4998
1SGQ_E_I,L,2.0,0.9212,0.7445,0.7057
1SGQ_E_I,random,2.0,-0.562,-1.2375,-0.2974
1SGY_E_I,L,2.0,0.8066,0.1146,0.6345
1SGY_E_I,random,2.0,-0.3686,-1.2533,-0.245
1SIB_E_I,L,2.0,0.7216,0.2548,0.3054
1SIB_E_I,random,2.0,-0.1486,-0.4867,-0.6473
1SMF_E_I,L,2.0,0.8681,0.102,0.6937
1SMF_E_I,random,2.0,0.0336,-0.3057,-0.2823
1TM1_E_I,L,2.0,0.6415,0.1792,0.4376
1TM1_E_I,random,2.0,-0.0962,-0.3945,-0.2197
1TM3_E_I,L,2.0,0.9211,0.2709,0.7177
1TM3_E_I,random,2.0,0.1892,-0.4913,0.0826
1TM4_E_I,L,2.0,0.8379,0.5299,0.4457
1TM4_E_I,random,2.0,-0.0108,-0.0236,-0.3075
1TM5_E_I,L,2.0,0.7669,0.1401,0.6982
1TM5_E_I,random,2.0,0.1736,-0.3941,0.0034
1TM7_E_I,L,2.0,0.7265,0.2735,0.3706
1TM7_E_I,random,2.0,0.0608,-0.0944,-0.1583
1TMG_E_I,L,2.0,0.715,0.1497,0.282
1TMG_E_I,random,2.0,0.1028,-0.2539,-0.1534
1TO1_E_I,L,2.0,0.816,0.1123,0.7557
1TO1_E_I,random,2.0,0.1272,-0.3171,-0.0474
1U7F_B_AC,L,2.0,0.4314,0.142,0.249
1U7F_B_AC,random,2.0,-0.2533,-0.3889,-0.2521
1UUZ_A_D,L,2.0,0.8169,0.4846,0.4663
1UUZ_A_D,random,2.0,-0.1595,-0.4742,-0.421
1VFB_AB_C,L,2.0,0.5471,0.4299,0.5265
1VFB_AB_C,random,2.0,-0.0211,0.0113,0.0268
1WQJ_I_B,L,2.0,0.2447,-0.2025,0.1595
1WQJ_I_B,random,2.0,-0.7467,-1.5756,-1.022
1X1W_A_D,L,2.0,0.6759,1.0224,0.2827
1X1W_A_D,random,2.0,-0.4308,-0.7251,-1.4202
1X1X_A_D,L,2.0,0.7809,0.8504,0.2226
1X1X_A_D,random,2.0,-0.1264,0.0081,-0.5532
1XD3_A_B,L,2.0,0.4021,1.0926,0.2265
1XD3_A_B,random,2.0,-0.6014,0.6414,-0.4499
1XGP_AB_C,L,2.0,0.766,0.6214,0.3813
1XGP_AB_C,random,2.0,0.0158,-0.0046,0.0642
1XGQ_AB_C,L,2.0,0.7479,0.7018,0.3853
1XGQ_AB_C,random,2.0,0.0183,0.2636,0.0065
1XGR_AB_C,L,2.0,0.7615,0.5664,0.2383
1XGR_AB_C,random,2.0,0.0378,-0.1646,-0.3081
1XGT_AB_C,L,2.0,0.7356,0.5246,0.2463
1XGT_AB_C,random,2.0,-0.2143,-0.2035,-0.2879
1XGU_AB_C,L,2.0,0.5296,0.2623,-0.0105
1XGU_AB_C,random,2.0,0.0309,-0.1342,-0.0975
1XXM_A_C,L,2.0,0.8536,0.1973,0.4627
1XXM_A_C,random,2.0,0.0181,-0.3142,-0.2275
1Y1K_E_I,L,2.0,0.8622,0.3613,0.7475
1Y1K_E_I,random,2.0,0.032,-0.2105,-0.1983
1Y33_E_I,L,2.0,0.7674,0.3917,0.686
1Y33_E_I,random,2.0,-0.101,-0.1745,-0.1746
1Y34_E_I,L,2.0,0.6958,0.133,0.2845
1Y34_E_I,random,2.0,0.1403,-0.3658,0.0074
1Y3B_E_I,L,2.0,0.7698,0.3371,0.5832
1Y3B_E_I,random,2.0,0.0313,-0.2296,-0.0175
1Y3C_E_I,L,2.0,0.6955,-0.0671,0.478
1Y3C_E_I,random,2.0,0.0466,-0.4997,-0.2104
1Y3D_E_I,L,2.0,0.6127,-0.0502,0.4316
1Y3D_E_I,random,2.0,0.0384,-0.4796,0.0076
1Y48_E_I,L,2.0,0.7354,-0.0111,0.5758
1Y48_E_I,random,2.0,-0.0061,-0.6989,-0.2357
1Y4A_E_I,L,2.0,0.9828,0.4003,0.8323
1Y4A_E_I,random,2.0,0.2558,-0.043,0.1842
1YCS_A_B,L,2.0,0.6709,0.3992,0.2223
1YCS_A_B,random,2.0,-0.1441,-0.0616,-0.0424
1YQV_HL_Y,L,2.0,0.5905,0.6522,0.5115
1YQV_HL_Y,random,2.0,0.0689,-0.0006,-0.0958
1Z7X_W_X,L,2.0,0.6107,0.555,0.0338
1Z7X_W_X,random,2.0,-0.0411,-0.0258,-0.5548
2A9K_A_B,L,2.0,0.5033,0.0444,0.1821
2A9K_A_B,random,2.0,-0.3475,-0.9152,-0.6989
2ABZ_B_E,L,2.0,0.4724,0.4776,0.3631
2ABZ_B_E,random,2.0,0.0807,0.2653,0.3058
2AW2_A_B,L,2.0,0.4258,0.1432,0.3645
2AW2_A_B,random,2.0,-0.1715,-0.691,-0.2651
2B0U_AB_C,L,2.0,0.4013,0.1636,0.0263
2B0U_AB_C,random,2.0,-0.4397,-0.9533,-0.5984
2B0Z_A_B,L,2.0,0.5581,0.6004,-0.1406
2B0Z_A_B,random,2.0,0.0294,0.0357,-0.449
2B10_A_B,L,2.0,0.697,0.637,0.2426
2B10_A_B,random,2.0,0.0108,0.0988,-0.1232
2B11_A_B,L,2.0,0.7113,0.5099,0.2795
2B11_A_B,random,2.0,0.0429,0.0156,-0.1882
2B12_A_B,L,2.0,0.6702,0.3685,0.0562
2B12_A_B,random,2.0,-0.0156,-0.2755,-0.508
2B2X_HL_A,L,2.0,0.8,0.2013,0.2028
2B2X_HL_A,random,2.0,0.0882,-0.4676,-0.4085
2B42_A_B,L,2.0,0.7038,0.9138,0.2345
2B42_A_B,random,2.0,-0.1896,0.0395,-0.6603
2BDN_HL_A,L,2.0,0.3725,-0.1152,0.0058
2BDN_HL_A,random,2.0,-0.1908,-0.7007,-0.6085
2BTF_A_P,L,2.0,0.7763,0.3545,0.5379
2BTF_A_P,random,2.0,-0.2223,-0.6564,-0.5705
2C0L_A_B,L,2.0,0.6778,0.1566,0.2207
2C0L_A_B,random,2.0,-0.6657,-1.568,-1.5631
2C5D_A_C,L,2.0,0.3494,0.0526,0.2743
2C5D_A_C,random,2.0,-0.3057,-0.5367,-0.2366
2CCL_A_B,L,2.0,0.4745,-0.0535,-0.0555
2CCL_A_B,random,2.0,-0.4309,-1.1133,-0.9403
2DSQ_I_G,L,2.0,0.4771,0.2019,0.2385
2DSQ_I_G,random,2.0,-0.1482,-0.6246,-0.3049
2DVW_A_B,L,2.0,0.7154,0.5289,0.4662
2DVW_A_B,random,2.0,-0.1602,-0.4209,-0.3925
2E7L_EQ_AD,L,2.0,0.5924,-0.0623,0.1421
2E7L_EQ_AD,random,2.0,-0.0062,-0.5345,-0.3115
2FTL_E_I,L,2.0,0.7992,0.6699,0.5382
2FTL_E_I,random,2.0,0.0203,0.2466,-0.2444
2G2U_A_B,L,2.0,0.7296,0.0728,0.3698
2G2U_A_B,random,2.0,-0.0913,-0.4849,-0.1663
2G2W_A_B,L,2.0,1.0053,0.2913,0.6974
2G2W_A_B,random,2.0,0.0849,-0.2348,-0.0427
2GOX_A_B,L,2.0,0.7205,0.3572,0.3339
2GOX_A_B,random,2.0,-0.1886,-0.4513,-0.2705
2GYK_A_B,L,2.0,0.7523,0.1687,0.1931
2GYK_A_B,random,2.0,-0.2447,-1.3613,-1.0348
2HLE_A_B,L,2.0,0.3961,-0.2703,-0.1435
2HLE_A_B,random,2.0,-0.2828,-1.2047,-0.6927
2HRK_A_B,L,2.0,0.6416,0.0249,0.261
2HRK_A_B,random,2.0,-0.4669,-1.2628,-0.7709
2I26_N_L,L,2.0,0.2533,0.2304,-0.1347
2I26_N_L,random,2.0,-0.6809,-0.8458,-0.9005
2J0T_A_D,L,2.0,0.5569,0.2856,1.0422
2J0T_A_D,random,2.0,-0.1419,-0.3173,0.3211
2J12_A_B,L,2.0,0.5834,-0.1976,0.2768
2J12_A_B,random,2.0,0.0018,-0.5977,-0.0722
2J1K_C_T,L,2.0,0.4783,-0.3384,0.1794
2J1K_C_T,random,2.0,-0.1836,-1.0814,-0.6014
2JEL_LH_P,L,2.0,0.5438,0.7338,0.4858
2JEL_LH_P,random,2.0,-0.0421,-0.0943,-0.2252
2KSO_A_B,L,2.0,0.711,0.3909,0.0825
2KSO_A_B,random,2.0,0.164,0.2892,-0.3941
2NOJ_A_B,L,2.0,0.6589,0.4245,0.4054
2NOJ_A_B,random,2.0,0.0345,-0.0645,-0.0517
2NU0_E_I,L,2.0,0.7106,0.2681,0.5631
2NU0_E_I,random,2.0,-0.5865,-1.1932,-0.5015
2NU1_E_I,L,2.0,0.7975,0.3675,0.5909
2NU1_E_I,random,2.0,-0.4065,-1.1144,-0.4991
2NU2_E_I,L,2.0,0.8227,0.3079,0.6046
2NU2_E_I,random,2.0,-0.1584,-0.8617,-0.2163
2NU4_E_I,L,2.0,0.8115,0.3607,0.7545
2NU4_E_I,random,2.0,-0.5621,-1.2705,-0.5561
2O3B_A_B,L,2.0,0.6433,0.5427,0.6012
2O3B_A_B,random,2.0,-0.0221,0.0739,0.2546
2OI9_AQ_BC,L,2.0,0.512,0.0375,0.0879
2OI9_AQ_BC,random,2.0,-0.2848,-0.6544,-0.3337
2OOB_A_B,L,2.0,0.1808,0.8901,-0.2203
2OOB_A_B,random,2.0,-1.4635,-1.6825,-2.1806
2PCB_A_B,L,2.0,0.5574,0.7582,0.3383
2PCB_A_B,random,2.0,0.0665,0.1819,-0.2123
2PCC_A_B,L,2.0,0.6457,0.4567,0.1664
2PCC_A_B,random,2.0,-0.0935,-0.2742,-0.4823
2QJ9_AB_C,L,2.0,0.5875,0.4806,0.0959
2QJ9_AB_C,random,2.0,-0.0472,-0.3098,-0.1597
2QJA_AB_C,L,2.0,0.5657,0.4269,0.1132
2QJA_AB_C,random,2.0,-0.2925,-0.6696,-0.6066
2QJB_AB_C,L,2.0,0.4633,0.4522,0.1914
2QJB_AB_C,random,2.0,-0.2633,-0.5646,-0.4319
2REX_A_B,L,2.0,0.2702,-0.6695,0.0962
2REX_A_B,random,2.0,-0.5608,-1.3531,-0.8346
2SGP_E_I,L,2.0,0.7923,0.3437,0.5536
2SGP_E_I,random,2.0,-0.1812,-0.4361,-0.2588
2SGQ_E_I,L,2.0,0.9026,0.5379,0.492
2SGQ_E_I,random,2.0,-0.1411,-1.0069,-0.6199
2SIC_E_I,L,2.0,1.1583,1.2526,0.6046
2SIC_E_I,random,2.0,0.1622,0.6428,0.1796
2VIR_AB_C,L,2.0,0.468,0.4878,0.2255
2VIR_AB_C,random,2.0,-0.1325,-0.1631,-0.2248
2VIS_AB_C,L,2.0,0.5489,0.5774,0.1712
2VIS_AB_C,random,2.0,-0.2961,-0.1542,-0.5302
2VLN_A_B,L,2.0,0.6607,0.013,0.0684
2VLN_A_B,random,2.0,-0.582,-1.4834,-1.3089
2VLO_A_B,L,2.0,0.6501,0.1044,0.1196
2VLO_A_B,random,2.0,-0.4664,-1.2595,-1.9762
2VLP_A_B,L,2.0,0.8357,-0.1295,-0.1141
2VLP_A_B,random,2.0,-0.1719,-1.15,-1.1786
2VLQ_A_B,L,2.0,0.7156,0.2109,0.3631
2VLQ_A_B,random,2.0,-0.1736,-0.4772,-0.7804
2VN5_A_B,L,2.0,0.6425,-0.1318,0.0365
2VN5_A_B,random,2.0,-0.6372,-1.9865,-1.9244
2WPT_A_B,L,2.0,0.704,0.2312,0.1724
2WPT_A_B,random,2.0,-0.319,-0.9958,-0.8962
3AAA_AB_C,L,2.0,0.4625,-0.123,-0.036
3AAA_AB_C,random,2.0,-0.3288,-0.9339,-0.5303
3B4V_AB_C,L,2.0,0.5742,0.0751,0.2514
3B4V_AB_C,random,2.0,-0.2908,-1.2434,-0.7822
3BDY_HL_V,L,2.0,0.4643,0.206,0.3428
3BDY_HL_V,random,2.0,-0.1453,-0.4872,-0.2654
3BK3_A_C,L,2.0,0.2265,0.1663,0.3156
3BK3_A_C,random,2.0,-0.7396,-0.7093,-0.8412
3BN9_B_CD,L,2.0,0.5314,0.1674,0.1596
3BN9_B_CD,random,2.0,-0.3027,-0.525,-0.4824
3BP8_A_C,L,2.0,0.701,1.2991,0.4816
3BP8_A_C,random,2.0,-0.1098,0.6004,0.0041
3BT1_A_U,L,2.0,0.665,0.1976,0.3916
3BT1_A_U,random,2.0,-0.1208,-0.6767,-0.2168
3BTD_E_I,L,2.0,0.7757,0.2865,0.6325
3BTD_E_I,random,2.0,0.012,-0.2467,0.1176
3BTE_E_I,L,2.0,0.7914,0.3758,0.4737
3BTE_E_I,random,2.0,0.2782,0.1164,-0.1146
3BTF_E_I,L,2.0,0.7058,0.6439,0.6158
3BTF_E_I,random,2.0,-0.0557,-0.105,-0.6049
3BTG_E_I,L,2.0,0.9469,0.6228,0.6887
3BTG_E_I,random,2.0,0.2275,-0.0784,0.0612
3BTH_E_I,L,2.0,0.7652,0.6379,0.8008
3BTH_E_I,random,2.0,0.0524,0.1114,0.25
3BTM_E_I,L,2.0,0.6527,0.459,0.5296
3BTM_E_I,random,2.0,-0.0107,0.1263,0.1321
3BTQ_E_I,L,2.0,0.7271,0.2146,0.7165
3BTQ_E_I,random,2.0,0.057,-0.1684,-0.0979
3BTT_E_I,L,2.0,0.7006,0.0098,0.5146
3BTT_E_I,random,2.0,-0.0217,-0.6247,-0.393
3BTW_E_I,L,2.0,0.678,0.2437,0.4945
3BTW_E_I,random,2.0,0.2923,-0.07,0.3678
3BX1_A_C,L,2.0,0.5047,0.0926,0.1721
3BX1_A_C,random,2.0,-0.3567,-0.7799,-0.31
3D5R_A_C,L,2.0,0.9941,0.3142,0.2375
3D5R_A_C,random,2.0,0.0034,-0.0998,-0.4603
3D5S_A_C,L,2.0,0.7613,0.0777,0.3239
3D5S_A_C,random,2.0,-0.1273,-0.5365,-0.1966
3EG5_A_B,L,2.0,0.6762,0.7551,0.416
3EG5_A_B,random,2.0,-0.2536,-0.0826,-0.7243
3EQS_A_B,L,2.0,0.313,-0.9185,-0.5178
3EQS_A_B,random,2.0,-1.2104,-3.082,-3.6076
3EQY_A_C,L,2.0,0.4136,-0.6514,-0.2323
3EQY_A_C,random,2.0,-0.9267,-2.5218,-2.9227
3F1S_A_B,L,2.0,0.4549,-0.0021,0.215
3F1S_A_B,random,2.0,-0.2746,-0.8509,-0.2912
3G6D_LH_A,L,2.0,0.3971,-0.0211,0.0956
3G6D_LH_A,random,2.0,-0.4015,-0.6463,-0.4675
3HFM_HL_Y,L,2.0,0.4343,0.6037,0.286
3HFM_HL_Y,random,2.0,-0.0469,0.2987,0.0154
3HH2_AB_C,L,2.0,0.3842,0.0533,0.4315
3HH2_AB_C,random,2.0,-0.4075,-0.8284,-0.3975
3KUD_A_B,L,2.0,0.4647,0.2245,0.1645
3KUD_A_B,random,2.0,-0.1152,-0.0212,-0.192
3L5X_A_HL,L,2.0,0.3184,-0.0693,0.1694
3L5X_A_HL,random,2.0,-0.3069,-1.0442,-0.538
3LB6_A_C,L,2.0,0.2756,0.2358,0.1431
3LB6_A_C,random,2.0,-0.6483,-1.0639,-0.7823
3LNZ_A_B,L,2.0,0.4606,-0.3,-0.5696
3LNZ_A_B,random,2.0,-0.868,-2.3037,-2.1358
3MZG_A_B,L,2.0,0.6749,0.3476,0.2874
3MZG_A_B,random,2.0,-0.1114,-0.2765,-0.3585
3MZW_A_B,L,2.0,0.6715,0.1265,0.3962
3MZW_A_B,random,2.0,0.0665,-0.4435,-0.2413
3N06_A_B,L,2.0,0.6781,0.1985,0.2505
3N06_A_B,random,2.0,-0.1949,-0.6958,-0.3215
3N0P_A_B,L,2.0,0.6037,0.2073,0.2487
3N0P_A_B,random,2.0,-0.2578,-0.6248,-0.6211
3N4I_A_B,L,2.0,0.8868,0.3064,0.5301
3N4I_A_B,random,2.0,0.1528,-0.2313,0.1119
3NCB_A_B,L,2.0,0.6653,0.3427,0.3903
3NCB_A_B,random,2.0,-0.0684,-0.1823,-0.1705
3NCC_A_B,L,2.0,0.6876,0.3466,0.3304
3NCC_A_B,random,2.0,-0.2031,-0.3042,-0.222
3NPS_A_BC,L,2.0,0.2508,0.3634,0.2213
3NPS_A_BC,random,2.0,-0.3509,0.0389,-0.1348
3Q3J_A_B,L,2.0,0.3673,0.1216,0.4127
3Q3J_A_B,random,2.0,-0.8278,-0.9491,-0.8401
3Q8D_A_E,L,2.0,0.6901,0.9153,-0.1147
3Q8D_A_E,random,2.0,0.2367,0.8539,-0.1546
3QHY_A_B,L,2.0,0.5191,0.2025,0.1277
3QHY_A_B,random,2.0,-0.0272,-0.2008,-0.2241
3RF3_A_C,L,2.0,0.3517,-0.3913,-0.1904
3RF3_A_C,random,2.0,-1.0304,-2.1826,-2.3144
3S9D_A_B,L,2.0,0.4816,-0.1839,0.2761
3S9D_A_B,random,2.0,-0.3052,-0.9241,-0.3329
3SE3_B_A,L,2.0,0.6931,0.3661,0.3495
3SE3_B_A,random,2.0,-0.3531,-0.6465,-0.6367
3SE3_B_C,L,2.0,0.8,0.4229,0.454
3SE3_B_C,random,2.0,-0.1732,-0.4886,-0.4689
3SE4_B_A,L,2.0,0.4731,0.3824,0.1971
3SE4_B_A,random,2.0,-0.2747,-0.3167,-0.378
3SE4_B_C,L,2.0,0.5028,0.1565,0.2022
3SE4_B_C,random,2.0,-0.2006,-0.625,-0.4046
3SEK_B_C,L,2.0,0.6779,0.0635,0.4353
3SEK_B_C,random,2.0,-0.1455,-0.6978,-0.522
3SF4_A_D,L,2.0,0.6761,0.0369,0.1625
3SF4_A_D,random,2.0,-0.38,-1.1712,-0.8977
3SGB_E_I,L,2.0,0.6614,-0.2674,0.1137
3SGB_E_I,random,2.0,-0.6338,-1.4777,-0.8584
3SZK_AB_C,L,2.0,1.0193,0.6894,0.6783
3SZK_AB_C,random,2.0,0.0044,-0.4729,-0.1611
