complex_id,direction,alpha,n_int,int_recovery,noninterface_recovery,meanL_mpnn,meanL_esmif,meanL_mif
1Y48_E_I,naive,2.0,35,0.433,0.4463,0.3378,-0.0333,0.2185
1Y4A_E_I,naive,0.0,41,0.2809,0.4747,0.3568,0.0921,0.3509
1Y4A_E_I,naive,2.0,41,0.3811,0.4758,0.4785,0.1479,0.3742
2AW2_A_B,naive,0.0,42,0.3192,0.3331,0.0001,-0.2435,0.0092
2AW2_A_B,naive,2.0,42,0.4129,0.335,0.1662,-0.0691,0.1386
2B12_A_B,naive,0.0,21,0.2775,0.3383,0.0725,-0.067,-0.3069
2B12_A_B,naive,2.0,21,0.4092,0.3393,0.3334,0.1686,-0.0649
2HRK_A_B,naive,0.0,25,0.2669,0.3407,-0.203,-0.8361,-0.4704
2HRK_A_B,naive,2.0,25,0.4006,0.3423,0.2521,-0.1774,0.0357
2JEL_LH_P,naive,0.0,32,0.2598,0.3877,-0.022,-0.0666,-0.186
2JEL_LH_P,naive,2.0,32,0.3276,0.3884,0.1986,0.2583,0.0735
2KSO_A_B,naive,0.0,22,0.1797,0.2286,0.3696,0.2383,-0.0326
2KSO_A_B,naive,2.0,22,0.2116,0.2282,0.5627,0.3092,0.0095
2NU2_E_I,naive,0.0,29,0.3998,0.4681,0.0775,-0.3272,0.1155
2NU2_E_I,naive,2.0,29,0.5463,0.4695,0.4987,0.2964,0.4708
2OI9_AQ_BC,naive,0.0,42,0.2414,0.3308,-0.084,-0.3677,-0.3341
2OI9_AQ_BC,naive,2.0,42,0.3259,0.3314,0.1031,-0.1612,-0.2535
2REX_A_B,naive,0.0,26,0.3287,0.3274,-0.2015,-0.9778,-0.326
2REX_A_B,naive,2.0,26,0.4369,0.3288,0.1243,-0.6265,-0.0139
2SIC_E_I,naive,0.0,32,0.2979,0.4143,0.3987,0.659,0.1065
2SIC_E_I,naive,2.0,32,0.4062,0.4151,0.765,0.8726,0.4324
3BK3_A_C,naive,0.0,29,0.3001,0.3105,-0.1936,-0.1571,-0.084
3BK3_A_C,naive,2.0,29,0.4019,0.3113,0.077,0.1341,0.1166
3BT1_A_U,naive,0.0,58,0.2322,0.3136,0.0848,-0.3375,-0.0515
3BT1_A_U,naive,2.0,58,0.3475,0.3136,0.358,0.0412,0.176
3BTF_E_I,naive,0.0,31,0.3735,0.4245,0.1474,-0.0943,0.0292
3BTF_E_I,naive,2.0,31,0.4975,0.4249,0.4432,0.1099,0.261
3BTH_E_I,naive,0.0,31,0.3629,0.4168,0.2244,0.077,0.1308
3BTH_E_I,naive,2.0,31,0.4859,0.4187,0.5371,0.3464,0.4859
3BTM_E_I,naive,0.0,30,0.3641,0.4228,0.2289,0.1563,0.0451
3BTM_E_I,naive,2.0,30,0.5068,0.4236,0.4673,0.2847,0.1732
3EQS_A_B,naive,0.0,23,0.2697,0.3637,-0.3466,-1.4185,-0.917
3EQS_A_B,naive,2.0,23,0.3777,0.3655,0.0581,-0.6573,-0.2766
3HFM_HL_Y,naive,0.0,38,0.1805,0.303,0.0414,0.2675,0.0549
3HFM_HL_Y,naive,2.0,38,0.2599,0.3036,0.1421,0.2146,0.0406
3KUD_A_B,naive,0.0,23,0.1495,0.3169,-0.0565,0.0795,-0.1811
3KUD_A_B,naive,2.0,23,0.1936,0.3187,0.0808,0.1469,-0.1277
3N0P_A_B,naive,0.0,48,0.2109,0.2974,0.042,-0.3452,-0.1622
3N0P_A_B,naive,2.0,48,0.3112,0.2989,0.2559,-0.0389,0.0586
3N4I_A_B,naive,0.0,55,0.2315,0.4059,0.2462,-0.1713,0.0474
3N4I_A_B,naive,2.0,55,0.2898,0.4071,0.5628,0.0662,0.1515
3Q8D_A_E,naive,0.0,7,0.1228,0.3153,0.2705,0.9499,-0.0493
3Q8D_A_E,naive,2.0,7,0.2076,0.3164,0.6109,1.0443,-0.1325
3SE3_B_C,naive,0.0,39,0.1811,0.2564,0.0606,-0.2872,-0.1477
3SE3_B_C,naive,2.0,39,0.2604,0.2579,0.4654,0.1377,0.149
3SE4_B_C,naive,0.0,39,0.1791,0.2375,-0.0147,-0.3321,-0.354
3SE4_B_C,naive,2.0,39,0.2893,0.2384,0.274,-0.0132,-0.1242
3TGK_E_I,naive,0.0,32,0.375,0.4184,0.1599,0.0425,0.1295
3TGK_E_I,naive,2.0,32,0.4951,0.4199,0.426,0.2399,0.4519
3UIG_A_P,naive,0.0,14,0.1964,0.3012,0.1873,-0.256,-0.037
3UIG_A_P,naive,2.0,14,0.2679,0.3013,0.664,0.1022,0.3023
3UIH_A_P,naive,0.0,9,0.1719,0.3032,0.339,0.3538,0.8943
3UIH_A_P,naive,2.0,9,0.2361,0.3032,0.7377,0.7212,1.2884
4BFI_A_B,naive,0.0,41,0.2538,0.3151,0.0386,-0.5902,-0.2489
4BFI_A_B,naive,2.0,41,0.3659,0.3153,0.4055,-0.0833,0.0762
4EKD_A_B,naive,0.0,47,0.1948,0.2629,0.0545,0.1109,-0.1936
4EKD_A_B,naive,2.0,47,0.253,0.2623,0.3215,0.3152,-0.1096
4G0N_A_B,naive,0.0,25,0.19,0.3322,0.0574,0.1619,-0.4263
4G0N_A_B,naive,2.0,25,0.2812,0.3338,0.2522,0.4961,-0.1607
4KRL_A_B,naive,0.0,30,0.2938,0.39,0.0986,-0.2526,-0.1011
4KRL_A_B,naive,2.0,30,0.4016,0.3917,0.2198,-0.1376,-0.1592
4L0P_A_B,naive,0.0,56,0.2201,0.3431,-0.1619,-0.7775,-0.5603
4L0P_A_B,naive,2.0,56,0.2966,0.3444,0.0375,-0.4884,-0.5501
4MYW_A_B,naive,0.0,45,0.2274,0.3266,-0.146,-0.1892,-0.0913
4MYW_A_B,naive,2.0,45,0.2979,0.3267,0.1015,-0.0236,0.0488
4N8V_G_ABC,naive,0.0,29,0.2155,0.3239,0.1217,-0.2178,-0.0782
4N8V_G_ABC,naive,2.0,29,0.2996,0.3245,0.4282,-0.0025,0.1808
5F4E_A_B,naive,0.0,38,0.2471,0.3335,-0.1161,-0.4064,-0.1306
5F4E_A_B,naive,2.0,38,0.3248,0.3342,0.1404,-0.0649,0.1107
5M2O_A_B,naive,0.0,40,0.3508,0.4487,-0.0514,-0.6238,0.0018
5M2O_A_B,naive,2.0,40,0.4355,0.4478,0.2856,-0.1891,0.281
5TAR_A_B,naive,0.0,15,0.2073,0.2926,0.0336,-0.0406,-0.1092
5TAR_A_B,naive,2.0,15,0.3312,0.2927,0.3267,0.261,0.2974
