complex_id,nh,auc_burial,p_burial,auc_KL,p_KL,auc_burial_KL,p_burial_KL,auc_xc,p_xc
1K8R_A_B,2,0.6521739130434783,0.0,0.6956521739130435,0.0,0.6304347826086957,0.0,0.6413043478260869,0.0
1KTZ_A_B,2,0.38235294117647056,0.0,0.47058823529411764,0.0,0.5,0.0,0.6323529411764706,0.0
1LFD_A_B,4,0.825,0.5,0.7625,0.25,0.85,0.25,0.59375,0.25
1N8Z_AB_C,1,1.0,1.0,0.09090909090909091,0.0,0.5757575757575758,0.0,0.015151515151515152,0.0
1NMB_N_LH,1,0.09375,0.0,0.375,0.0,0.21875,0.0,0.6875,0.0
1OGA_ABC_DE,3,0.7941176470588235,0.0,0.9313725490196079,0.6666666666666666,0.9607843137254902,0.6666666666666666,0.9411764705882353,0.6666666666666666
1PPF_E_I,2,0.5178571428571429,0.0,0.8214285714285714,0.0,0.7857142857142857,0.0,0.9464285714285714,0.5
1R0R_E_I,2,0.43548387096774194,0.0,0.5806451612903226,0.0,0.5645161290322581,0.0,0.9032258064516129,0.0
1REW_AB_C,1,0.8666666666666667,0.0,0.9555555555555556,0.0,0.9777777777777777,0.0,0.7777777777777778,0.0
1SMF_E_I,3,0.6833333333333333,0.3333333333333333,0.8833333333333333,0.3333333333333333,0.8833333333333333,0.6666666666666666,0.9666666666666667,0.6666666666666666
1TM1_E_I,3,0.625,0.0,0.7916666666666666,0.0,0.7291666666666666,0.0,0.9427083333333334,0.3333333333333333
1U7F_B_AC,1,0.9574468085106383,0.0,0.6170212765957447,0.0,0.8617021276595744,0.0,0.9148936170212766,0.0
1VFB_AB_C,3,0.6666666666666666,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7666666666666667,0.3333333333333333,0.6888888888888889,0.3333333333333333
1XGR_AB_C,1,0.9459459459459459,1.0,0.7567567567567568,0.0,0.918918918918919,0.0,0.3108108108108108,0.0
1XGT_AB_C,1,0.9358974358974359,0.0,0.8205128205128205,0.0,0.9743589743589743,0.0,0.358974358974359,0.0
1XGU_AB_C,1,0.9,0.0,0.7,0.0,0.9,0.0,0.35,0.0
1Z7X_W_X,4,0.7,0.0,0.8833333333333333,0.0,0.8875,0.5,0.8104166666666667,0.25
2A9K_A_B,1,0.3333333333333333,0.0,0.4444444444444444,0.0,0.3888888888888889,0.0,0.2777777777777778,0.0
2AW2_A_B,1,0.8536585365853658,0.0,1.0,1.0,0.975609756097561,0.0,0.9512195121951219,0.0
2FTL_E_I,9,0.30994152046783624,0.1111111111111111,0.5847953216374269,0.4444444444444444,0.38596491228070173,0.1111111111111111,0.6754385964912281,0.4444444444444444
2G2U_A_B,2,0.9607843137254902,0.0,0.6274509803921569,0.0,0.8823529411764706,0.5,0.25,0.0
2J0T_A_D,2,0.75,0.0,0.96875,0.5,0.9375,0.5,1.0,1.0
2NYY_DC_A,4,0.8026315789473685,0.25,0.8881578947368421,0.5,0.9078947368421053,0.25,0.8486842105263158,0.0
2NZ9_DC_A,6,0.793859649122807,0.16666666666666666,0.7807017543859649,0.3333333333333333,0.8552631578947368,0.3333333333333333,0.8421052631578947,0.3333333333333333
2O3B_A_B,3,0.5882352941176471,0.3333333333333333,0.7352941176470589,0.0,0.696078431372549,0.3333333333333333,0.6421568627450981,0.3333333333333333
2PCC_A_B,2,0.5370370370370371,0.5,0.6666666666666666,0.0,0.5925925925925926,0.5,0.6203703703703703,0.0
2WPT_A_B,6,0.7027777777777777,0.3333333333333333,0.6055555555555555,0.0,0.7055555555555556,0.3333333333333333,0.625,0.16666666666666666
3AAA_AB_C,5,0.6451612903225806,0.0,0.5225806451612903,0.2,0.6,0.2,0.5580645161290323,0.2
3B4V_AB_C,3,0.8380952380952381,0.3333333333333333,0.9714285714285714,0.6666666666666666,0.9095238095238095,0.6666666666666666,0.9595238095238096,0.3333333333333333
3BN9_B_CD,3,0.6962962962962963,0.0,0.9037037037037037,0.6666666666666666,0.9333333333333333,0.3333333333333333,0.7777777777777778,0.3333333333333333
3C60_CD_AB,2,0.45161290322580644,0.0,0.6612903225806451,0.0,0.5645161290322581,0.0,0.46774193548387094,0.0
3D3V_ABC_DE,3,0.6581196581196581,0.3333333333333333,0.6923076923076923,0.3333333333333333,0.6837606837606838,0.3333333333333333,0.33760683760683763,0.0
3EQS_A_B,4,0.7631578947368421,0.25,1.0,1.0,0.9210526315789473,0.75,1.0,1.0
3EQY_A_C,4,0.7361111111111112,0.25,0.9722222222222222,0.75,0.8888888888888888,0.5,0.9652777777777778,0.75
3F1S_A_B,3,0.6201550387596899,0.0,0.8217054263565892,0.3333333333333333,0.7751937984496124,0.3333333333333333,0.748062015503876,0.3333333333333333
3HFM_HL_Y,11,0.8383838383838383,0.6363636363636364,0.5117845117845118,0.36363636363636365,0.7575757575757576,0.36363636363636365,0.5202020202020202,0.2727272727272727
3LB6_A_C,4,0.7661290322580645,0.5,0.782258064516129,0.25,0.8790322580645161,0.5,0.6491935483870968,0.25
3M62_A_B,4,0.8055555555555556,0.25,0.7129629629629629,0.25,0.7962962962962963,0.5,0.6064814814814815,0.25
3M63_A_B,2,0.7692307692307693,0.5,0.5576923076923077,0.0,0.7115384615384616,0.0,0.28846153846153844,0.0
3MZG_A_B,1,0.44680851063829785,0.0,0.9148936170212766,0.0,0.9148936170212766,0.0,0.7872340425531915,0.0
3NGB_HL_G,2,0.8909090909090909,0.5,0.6272727272727273,0.0,0.8,0.0,0.4318181818181818,0.0
3QHY_A_B,14,0.7987012987012987,0.5714285714285714,0.6341991341991342,0.2857142857142857,0.829004329004329,0.6428571428571429,0.5162337662337663,0.2857142857142857
3QIB_ABP_CD,3,0.64,0.0,0.88,0.0,0.8066666666666666,0.0,0.5766666666666667,0.0
3S9D_A_B,7,0.7589285714285714,0.2857142857142857,0.7767857142857143,0.42857142857142855,0.8214285714285714,0.5714285714285714,0.7633928571428571,0.14285714285714285
3SE4_B_C,1,0.5263157894736842,0.0,0.6578947368421053,0.0,0.6578947368421053,0.0,0.9473684210526315,0.0
3SE8_HL_G,1,0.43333333333333335,0.0,0.48333333333333334,0.0,0.43333333333333335,0.0,0.041666666666666664,0.0
3SE9_HL_G,1,0.5098039215686274,0.0,0.1568627450980392,0.0,0.27450980392156865,0.0,0.00980392156862745,0.0
3SEK_B_C,2,0.27611940298507465,0.0,0.39552238805970147,0.0,0.31343283582089554,0.0,0.30597014925373134,0.0
3SF4_A_D,1,0.6777777777777778,0.0,0.9222222222222223,0.0,0.8222222222222222,0.0,0.8722222222222222,0.0
3SGB_E_I,2,0.6607142857142857,0.0,0.6785714285714286,0.5,0.6428571428571429,0.0,1.0,1.0
3SZK_AB_C,4,0.45652173913043476,0.0,0.6847826086956522,0.25,0.6032608695652174,0.25,0.7391304347826086,0.5
3U82_A_B,1,1.0,1.0,0.7894736842105263,0.0,1.0,1.0,0.4605263157894737,0.0
4BFI_A_B,2,0.5256410256410257,0.0,1.0,1.0,0.7435897435897436,0.0,0.8653846153846154,0.0
4CPA_A_I,1,1.0,1.0,0.84,0.0,0.96,0.0,1.0,1.0
4CVW_A_C,1,0.4642857142857143,0.0,0.9821428571428571,0.0,0.9464285714285714,0.0,0.9732142857142857,0.0
4FTV_ABC_DE,1,0.25,0.0,0.6136363636363636,0.0,0.4318181818181818,0.0,0.42045454545454547,0.0
4G0N_A_B,4,0.5476190476190477,0.0,0.5238095238095238,0.25,0.4880952380952381,0.25,0.6607142857142857,0.25
4HFK_A_BD,1,0.7368421052631579,0.0,0.7105263157894737,0.0,0.8157894736842105,0.0,0.7236842105263158,0.0
4HRN_A_D,3,0.6129032258064516,0.3333333333333333,0.6559139784946236,0.0,0.6881720430107527,0.3333333333333333,0.8387096774193549,0.6666666666666666
4I77_HL_Z,3,0.6495726495726496,0.3333333333333333,0.8376068376068376,0.0,0.8205128205128205,0.3333333333333333,0.7264957264957265,0.0
4J2L_A_CD,1,0.5681818181818182,0.0,1.0,1.0,0.8409090909090909,0.0,0.9886363636363636,1.0
4JEU_A_B,1,0.9897959183673469,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4JFF_ABC_DE,5,0.8042553191489362,0.2,0.5148936170212766,0.0,0.6638297872340425,0.0,0.474468085106383,0.0
4JGH_ABC_D,1,0.23076923076923078,0.0,0.41025641025641024,0.0,0.20512820512820512,0.0,0.4358974358974359,0.0
4L3E_ABC_DE,2,0.6063829787234043,0.0,0.5957446808510638,0.0,0.6063829787234043,0.0,0.16489361702127658,0.0
4MNQ_ABC_DE,2,0.8191489361702128,0.0,0.7553191489361702,0.0,0.8297872340425532,0.0,0.9361702127659575,0.0
4MYW_A_B,1,1.0,1.0,0.7954545454545454,0.0,0.9772727272727273,0.0,0.5340909090909091,0.0
4OFY_A_D,5,0.7428571428571429,0.4,0.6571428571428571,0.2,0.7571428571428571,0.4,0.6178571428571429,0.2
4P23_CD_AB,3,0.6881720430107527,0.0,0.5698924731182796,0.0,0.6236559139784946,0.0,0.3118279569892473,0.0
4P5T_CD_AB,1,0.7073170731707317,0.0,0.7560975609756098,0.0,0.7804878048780488,0.0,0.7682926829268293,0.0
4RS1_A_B,3,0.8592592592592593,0.3333333333333333,0.6,0.0,0.762962962962963,0.0,0.6703703703703704,0.0
4YEB_A_B,1,0.7906976744186046,0.0,0.32558139534883723,0.0,0.627906976744186,0.0,0.11627906976744186,0.0
4ZS6_HL_A,1,0.52,0.0,0.92,0.0,0.8,0.0,0.9,0.0
5C6T_HL_A,2,0.94,0.5,0.7,0.0,0.76,0.0,0.16,0.0
5F4E_A_B,1,0.8378378378378378,0.0,0.972972972972973,0.0,1.0,1.0,1.0,1.0
5K39_A_B,2,0.575,0.0,0.75,0.0,0.675,0.0,0.8875,0.0
5M2O_A_B,2,0.9473684210526315,0.0,0.9736842105263158,0.5,1.0,1.0,0.9473684210526315,0.5
5XCO_A_B,3,0.9206349206349206,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.9206349206349206,0.6666666666666666,0.8174603174603174,0.6666666666666666
