complex_id,direction,alpha,meanL_pifold
2B42_A_B,random,2.0,-0.9102
2BDN_HL_A,L,2.0,-0.2287
2BDN_HL_A,random,2.0,-0.7733
2BTF_A_P,L,2.0,0.437
2BTF_A_P,random,2.0,-0.7474
2C0L_A_B,L,2.0,0.4008
2C0L_A_B,random,2.0,-1.3886
2C5D_A_C,L,2.0,0.2713
2C5D_A_C,random,2.0,-0.3698
2CCL_A_B,L,2.0,-0.0849
2CCL_A_B,random,2.0,-1.5357
2DSQ_I_G,L,2.0,0.3534
2DSQ_I_G,random,2.0,-0.7632
2DVW_A_B,L,2.0,0.5074
2DVW_A_B,random,2.0,-0.4734
2E7L_EQ_AD,L,2.0,-0.0855
2E7L_EQ_AD,random,2.0,-0.5307
2FTL_E_I,L,2.0,0.7837
2FTL_E_I,random,2.0,-0.3297
2G2U_A_B,L,2.0,0.2623
2G2U_A_B,random,2.0,-0.201
2G2W_A_B,L,2.0,0.5847
2G2W_A_B,random,2.0,-0.2624
2GOX_A_B,L,2.0,0.4801
2GOX_A_B,random,2.0,-0.5343
2GYK_A_B,L,2.0,0.2618
2GYK_A_B,random,2.0,-1.1759
2HLE_A_B,L,2.0,0.1629
2HLE_A_B,random,2.0,-0.5136
2HRK_A_B,L,2.0,-0.0273
2HRK_A_B,random,2.0,-1.2722
2I26_N_L,L,2.0,-0.0245
2I26_N_L,random,2.0,-0.9714
2J0T_A_D,L,2.0,0.4683
2J0T_A_D,random,2.0,-0.2023
2J12_A_B,L,2.0,0.27
2J12_A_B,random,2.0,-0.3349
2J1K_C_T,L,2.0,-0.3468
2J1K_C_T,random,2.0,-0.8011
2JEL_LH_P,L,2.0,0.1608
2JEL_LH_P,random,2.0,-0.612
2KSO_A_B,L,2.0,0.0454
2KSO_A_B,random,2.0,-0.6839
2NOJ_A_B,L,2.0,0.5606
2NOJ_A_B,random,2.0,0.1506
2NU0_E_I,L,2.0,1.0656
2NU0_E_I,random,2.0,-1.1138
2NU1_E_I,L,2.0,1.0658
2NU1_E_I,random,2.0,-0.8136
2NU2_E_I,L,2.0,0.8264
2NU2_E_I,random,2.0,-0.5501
2NU4_E_I,L,2.0,0.8944
2NU4_E_I,random,2.0,-0.9601
2O3B_A_B,L,2.0,0.5478
2O3B_A_B,random,2.0,-0.1314
2OI9_AQ_BC,L,2.0,-0.2372
2OI9_AQ_BC,random,2.0,-1.0809
2OOB_A_B,L,2.0,-0.3035
2OOB_A_B,random,2.0,-3.8071
2PCB_A_B,L,2.0,0.53
2PCB_A_B,random,2.0,0.0939
2PCC_A_B,L,2.0,0.6494
2PCC_A_B,random,2.0,-0.1593
2QJ9_AB_C,L,2.0,-0.0791
2QJ9_AB_C,random,2.0,-0.5405
2QJA_AB_C,L,2.0,0.1968
2QJA_AB_C,random,2.0,-0.6865
2QJB_AB_C,L,2.0,0.106
2QJB_AB_C,random,2.0,-1.131
2REX_A_B,L,2.0,-0.3439
2REX_A_B,random,2.0,-1.3288
2SGP_E_I,L,2.0,1.0772
2SGP_E_I,random,2.0,-0.2812
2SGQ_E_I,L,2.0,1.4465
2SGQ_E_I,random,2.0,-0.5146
2SIC_E_I,L,2.0,1.052
2SIC_E_I,random,2.0,-0.036
2VIR_AB_C,L,2.0,0.1277
2VIR_AB_C,random,2.0,-0.3989
2VIS_AB_C,L,2.0,0.4359
2VIS_AB_C,random,2.0,-0.5883
2VLN_A_B,L,2.0,0.3857
2VLN_A_B,random,2.0,-1.2126
2VLO_A_B,L,2.0,0.3319
2VLO_A_B,random,2.0,-2.0162
2VLP_A_B,L,2.0,-0.0879
2VLP_A_B,random,2.0,-0.9636
2VLQ_A_B,L,2.0,0.2797
2VLQ_A_B,random,2.0,-0.9333
2VN5_A_B,L,2.0,0.1162
2VN5_A_B,random,2.0,-1.8189
2WPT_A_B,L,2.0,0.2744
2WPT_A_B,random,2.0,-0.5115
3AAA_AB_C,L,2.0,0.2367
3AAA_AB_C,random,2.0,-0.4973
3B4V_AB_C,L,2.0,0.2775
3B4V_AB_C,random,2.0,-1.0822
3BDY_HL_V,L,2.0,0.2041
3BDY_HL_V,random,2.0,-0.455
3BK3_A_C,L,2.0,-0.1589
3BK3_A_C,random,2.0,-1.3206
3BN9_B_CD,L,2.0,0.1764
3BN9_B_CD,random,2.0,-0.5498
3BP8_A_C,L,2.0,0.5885
3BP8_A_C,random,2.0,-0.4836
3BT1_A_U,L,2.0,0.3694
3BT1_A_U,random,2.0,-0.4574
3BTD_E_I,L,2.0,1.0065
3BTD_E_I,random,2.0,0.4591
3BTE_E_I,L,2.0,1.0549
3BTE_E_I,random,2.0,0.4313
3BTF_E_I,L,2.0,0.8305
3BTF_E_I,random,2.0,-0.3437
3BTG_E_I,L,2.0,1.6754
3BTG_E_I,random,2.0,0.5155
3BTH_E_I,L,2.0,1.414
3BTH_E_I,random,2.0,0.6304
3BTM_E_I,L,2.0,1.0034
3BTM_E_I,random,2.0,0.4249
3BTQ_E_I,L,2.0,1.1541
3BTQ_E_I,random,2.0,0.5575
3BTT_E_I,L,2.0,0.9274
3BTT_E_I,random,2.0,0.1789
3BTW_E_I,L,2.0,0.7447
3BTW_E_I,random,2.0,0.5284
3BX1_A_C,L,2.0,0.0665
3BX1_A_C,random,2.0,-0.5645
3D5R_A_C,L,2.0,0.7708
3D5R_A_C,random,2.0,-0.1138
3D5S_A_C,L,2.0,0.4481
3D5S_A_C,random,2.0,-0.4807
3EG5_A_B,L,2.0,0.1556
3EG5_A_B,random,2.0,-0.6321
3EQS_A_B,L,2.0,-0.1611
3EQS_A_B,random,2.0,-2.387
3EQY_A_C,L,2.0,-0.4774
3EQY_A_C,random,2.0,-2.534
3F1S_A_B,L,2.0,-0.1063
3F1S_A_B,random,2.0,-0.8215
3G6D_LH_A,L,2.0,0.114
3G6D_LH_A,random,2.0,-0.3055
3HFM_HL_Y,L,2.0,0.4653
3HFM_HL_Y,random,2.0,0.0392
3HH2_AB_C,L,2.0,0.1478
3HH2_AB_C,random,2.0,-0.6062
3KUD_A_B,L,2.0,0.3713
3KUD_A_B,random,2.0,-0.3078
3L5X_A_HL,L,2.0,0.0637
3L5X_A_HL,random,2.0,-0.9
3LB6_A_C,L,2.0,0.3828
3LB6_A_C,random,2.0,-0.9954
3LNZ_A_B,L,2.0,0.0433
3LNZ_A_B,random,2.0,-1.1728
3MZG_A_B,L,2.0,0.385
3MZG_A_B,random,2.0,-0.3993
3MZW_A_B,L,2.0,0.1023
3MZW_A_B,random,2.0,-0.7005
3N06_A_B,L,2.0,0.202
3N06_A_B,random,2.0,-0.6768
3N0P_A_B,L,2.0,0.3617
3N0P_A_B,random,2.0,-0.7962
3N4I_A_B,L,2.0,0.515
3N4I_A_B,random,2.0,-0.127
3NCB_A_B,L,2.0,0.1881
3NCB_A_B,random,2.0,-0.4697
3NCC_A_B,L,2.0,0.3987
3NCC_A_B,random,2.0,-0.241
3NPS_A_BC,L,2.0,0.1612
3NPS_A_BC,random,2.0,-0.2308
3Q3J_A_B,L,2.0,0.2801
3Q3J_A_B,random,2.0,-1.5809
3Q8D_A_E,L,2.0,0.1663
3Q8D_A_E,random,2.0,-0.0867
3QHY_A_B,L,2.0,0.3011
3QHY_A_B,random,2.0,-0.2721
3RF3_A_C,L,2.0,-0.0692
3RF3_A_C,random,2.0,-2.1488
3S9D_A_B,L,2.0,0.2493
3S9D_A_B,random,2.0,-0.6795
3SE3_B_A,L,2.0,0.4589
3SE3_B_A,random,2.0,-0.6055
3SE3_B_C,L,2.0,0.4744
3SE3_B_C,random,2.0,-0.5251
3SE4_B_A,L,2.0,0.1568
3SE4_B_A,random,2.0,-0.5524
3SE4_B_C,L,2.0,0.0491
3SE4_B_C,random,2.0,-0.4384
3SEK_B_C,L,2.0,0.1939
3SEK_B_C,random,2.0,-0.8648
3SF4_A_D,L,2.0,0.1031
3SF4_A_D,random,2.0,-1.0766
3SGB_E_I,L,2.0,0.5987
3SGB_E_I,random,2.0,-1.086
3SZK_AB_C,L,2.0,0.6527
3SZK_AB_C,random,2.0,-0.4522
3TGK_E_I,L,2.0,0.8808
3TGK_E_I,random,2.0,0.2703
3U82_A_B,L,2.0,0.8809
3U82_A_B,random,2.0,0.3789
3UIG_A_P,L,2.0,1.7589
3UIG_A_P,random,2.0,0.9839
3UIH_A_P,L,2.0,1.2961
3UIH_A_P,random,2.0,0.6154
3UII_A_P,L,2.0,1.0669
3UII_A_P,random,2.0,0.3154
3W2D_A_HL,L,2.0,0.3334
3W2D_A_HL,random,2.0,0.124
3WWN_A_B,L,2.0,0.1652
3WWN_A_B,random,2.0,-0.3236
4B0M_A_BM,L,2.0,-0.0555
4B0M_A_BM,random,2.0,-1.0069
4BFI_A_B,L,2.0,-0.2156
4BFI_A_B,random,2.0,-1.4093
4CPA_A_I,L,2.0,-0.0461
4CPA_A_I,random,2.0,-0.3745
4E6K_AB_G,L,2.0,0.3662
4E6K_AB_G,random,2.0,-0.4531
4EKD_A_B,L,2.0,0.1786
4EKD_A_B,random,2.0,-0.2447
4FZA_A_B,L,2.0,0.5674
4FZA_A_B,random,2.0,0.0254
4G0N_A_B,L,2.0,-0.1698
4G0N_A_B,random,2.0,-1.1291
4G2V_A_B,L,2.0,0.7783
4G2V_A_B,random,2.0,-0.2849
4HFK_A_BD,L,2.0,0.173
4HFK_A_BD,random,2.0,-1.1109
4HRN_A_D,L,2.0,-0.0321
4HRN_A_D,random,2.0,-0.6538
4HSA_AB_C,L,2.0,0.2459
4HSA_AB_C,random,2.0,-0.4212
4I77_HL_Z,L,2.0,-0.013
4I77_HL_Z,random,2.0,-0.9031
4J2L_A_CD,L,2.0,0.3916
4J2L_A_CD,random,2.0,-0.7818
4JPK_HL_A,L,2.0,-0.3187
4JPK_HL_A,random,2.0,-0.9744
4KRL_A_B,L,2.0,0.2547
4KRL_A_B,random,2.0,-0.1526
4KRO_A_B,L,2.0,-0.182
4KRO_A_B,random,2.0,-0.4897
4KRP_A_B,L,2.0,-0.2334
4KRP_A_B,random,2.0,-0.7983
4L0P_A_B,L,2.0,-0.2447
4L0P_A_B,random,2.0,-1.3476
4MYW_A_B,L,2.0,0.1275
4MYW_A_B,random,2.0,-0.4746
4N8V_G_ABC,L,2.0,0.3062
4N8V_G_ABC,random,2.0,-0.4298
4NKQ_C_AB,L,2.0,0.2854
4NKQ_C_AB,random,2.0,-0.0249
4NZW_A_B,L,2.0,0.1821
4NZW_A_B,random,2.0,-0.4358
4O27_A_B,L,2.0,0.418
4O27_A_B,random,2.0,-0.2641
4OFY_A_D,L,2.0,-0.1883
4OFY_A_D,random,2.0,-0.2794
4RA0_A_C,L,2.0,0.2655
4RA0_A_C,random,2.0,-0.462
4RS1_A_B,L,2.0,0.6351
4RS1_A_B,random,2.0,-0.0989
4U6H_AB_E,L,2.0,-0.1732
4U6H_AB_E,random,2.0,-0.3532
4UYP_A_D,L,2.0,0.0839
4UYP_A_D,random,2.0,-0.683
4UYQ_A_B,L,2.0,0.0317
4UYQ_A_B,random,2.0,-1.1801
4WND_A_B,L,2.0,0.2488
4WND_A_B,random,2.0,-0.7821
4X4M_AB_E,L,2.0,0.5165
4X4M_AB_E,random,2.0,-0.0893
4Y61_A_B,L,2.0,-0.1247
4Y61_A_B,random,2.0,-0.4728
4YEB_A_B,L,2.0,-0.0692
4YEB_A_B,random,2.0,-0.3015
4ZS6_HL_A,L,2.0,0.2192
4ZS6_HL_A,random,2.0,-0.4618
5E6P_A_B,L,2.0,0.1725
5E6P_A_B,random,2.0,-0.4936
5E9D_AB_CDE,L,2.0,0.2048
5E9D_AB_CDE,random,2.0,-0.8604
5F4E_A_B,L,2.0,0.0859
5F4E_A_B,random,2.0,-0.5388
5K39_A_B,L,2.0,-0.2366
5K39_A_B,random,2.0,-1.4765
5M2O_A_B,L,2.0,0.2803
5M2O_A_B,random,2.0,-0.3989
5TAR_A_B,L,2.0,0.2098
5TAR_A_B,random,2.0,-0.7387
5UFE_A_B,L,2.0,-0.1734
5UFE_A_B,random,2.0,-1.6026
5UFQ_A_C,L,2.0,-0.4637
5UFQ_A_C,random,2.0,-2.0852
5XCO_A_B,L,2.0,-0.3786
5XCO_A_B,random,2.0,-1.8962
