complex_id,L,n_hot,n_ctl,Rhot_default,Rctl_default,gap_default,Rall_default,Rhot_oracle_first,Rctl_oracle_first,gap_oracle_first,Rall_oracle_first
1S1Q_A_B,213,1,1,0.0,0.04,-0.04,0.5199530516431925,0.0,0.05,-0.05,0.519906103286385
1SMF_E_I,232,1,1,0.95,1.0,-0.050000000000000044,0.5623706896551725,1.0,1.0,0.0,0.5610344827586207
1TM1_E_I,345,3,3,0.38,0.7133333333333334,-0.33333333333333337,0.5881739130434782,0.18333333333333332,0.72,-0.5366666666666666,0.5861159420289855
1VFB_AB_C,352,4,4,0.31,0.5775,-0.2675,0.5614204545454545,0.1675,0.56,-0.39250000000000007,0.559034090909091
2A9K_A_B,377,1,1,0.9,0.38,0.52,0.5206631299734747,1.0,0.35,0.65,0.5212201591511937
2AW2_A_B,210,2,2,0.585,0.24,0.345,0.44747619047619047,0.5,0.26,0.24,0.44633333333333336
2FTL_E_I,279,3,3,0.49333333333333335,0.5966666666666667,-0.10333333333333333,0.553010752688172,0.4,0.7533333333333333,-0.3533333333333333,0.5523297491039426
2GOX_A_B,362,1,1,0.51,0.24,0.27,0.4767955801104972,0.46,0.3,0.16000000000000003,0.47414364640883977
2J0T_A_D,285,2,2,0.295,0.0,0.295,0.480280701754386,0.305,0.0,0.305,0.47950877192982455
2WPT_A_B,195,8,8,0.55125,0.275,0.27625,0.4874871794871795,0.5075,0.2275,0.2799999999999999,0.488974358974359
3BK3_A_C,171,1,1,1.0,1.0,0.0,0.4249707602339181,1.0,1.0,0.0,0.43
3BT1_A_U,398,6,6,0.6,0.505,0.09499999999999997,0.4316834170854271,0.665,0.495,0.17000000000000004,0.4305025125628141
3EQS_A_B,95,2,2,0.98,0.795,0.18499999999999994,0.5031578947368421,1.0,0.81,0.18999999999999995,0.4981052631578947
3EQY_A_C,96,1,1,0.88,1.0,-0.12,0.4422916666666667,1.0,0.99,0.010000000000000009,0.4421875
3KUD_A_B,241,1,1,0.11,0.36,-0.25,0.4067219917012448,0.0,0.31,-0.31,0.40224066390041496
3LB6_A_C,361,1,1,0.94,0.0,0.94,0.4302216066481995,1.0,0.01,0.99,0.43185595567867036
3MZG_A_B,392,2,2,0.0,0.15,-0.15,0.3950255102040816,0.0,0.115,-0.115,0.39591836734693875
3Q8D_A_E,234,1,1,0.0,0.98,-0.98,0.47354700854700854,0.0,0.96,-0.96,0.47136752136752136
3S9D_A_B,307,3,3,0.3566666666666667,0.5533333333333333,-0.19666666666666666,0.4070684039087948,0.36666666666666664,0.5066666666666667,-0.14000000000000007,0.40530944625407167
3SE4_B_C,333,5,5,0.364,0.116,0.248,0.3602102102102102,0.422,0.072,0.35,0.35831831831831834
3SF4_A_D,400,1,1,0.5,0.79,-0.29000000000000004,0.4143,1.0,0.87,0.13,0.419725
3SGB_E_I,235,1,1,1.0,0.92,0.07999999999999996,0.6397021276595745,1.0,0.95,0.050000000000000044,0.6394893617021277
4BFI_A_B,394,3,3,0.6666666666666666,0.67,-0.0033333333333334103,0.45855329949238577,0.6666666666666666,0.67,-0.0033333333333334103,0.4601776649746193
4CPA_A_I,345,1,1,0.6,0.33,0.26999999999999996,0.42843478260869566,0.27,0.31,-0.03999999999999998,0.42927536231884056
4E6K_AB_G,371,1,1,0.24,0.97,-0.73,0.5060916442048518,0.0,0.94,-0.94,0.5073584905660378
4G0N_A_B,242,3,3,0.01,0.08333333333333333,-0.07333333333333333,0.43421487603305786,0.0,0.11,-0.11,0.43483471074380164
4HFK_A_BD,355,3,3,0.43666666666666665,0.3333333333333333,0.10333333333333333,0.537887323943662,0.37333333333333335,0.3333333333333333,0.040000000000000036,0.5365352112676056
4HRN_A_D,191,2,2,0.16,0.2,-0.04000000000000001,0.5845549738219895,0.195,0.14,0.05499999999999999,0.5815706806282722
4J2L_A_CD,171,1,1,0.0,0.68,-0.68,0.36403508771929827,0.0,0.7,-0.7,0.3688888888888889
4RS1_A_B,372,2,2,0.47,0.51,-0.040000000000000036,0.36051075268817206,0.515,0.51,0.0050000000000000044,0.3631989247311828
5K39_A_B,320,1,1,0.92,0.02,0.9,0.54571875,1.0,0.0,1.0,0.5451875
5M2O_A_B,211,4,4,0.795,0.2625,0.5325,0.5681516587677725,0.9475,0.2625,0.685,0.5708530805687204
5TAR_A_B,332,1,1,0.38,0.0,0.38,0.42569277108433734,0.0,0.0,0.0,0.4208132530120482
