complex_id,direction,alpha,n_int,int_recovery,noninterface_recovery,meanL_mpnn,meanL_esmif
1B2U_A_D,random,0.0,30,0.2672,0.4106,-0.0112,0.2649
1B2U_A_D,random,0.25,30,0.2714,0.4103,0.0163,0.2524
1B2U_A_D,random,0.5,30,0.2661,0.41,-0.0012,0.182
1B2U_A_D,random,1.0,30,0.2354,0.4088,-0.0968,-0.1042
1B2U_A_D,random,2.0,30,0.1885,0.4062,-0.3044,-0.5044
1B3S_A_D,L,0.0,27,0.2841,0.3974,0.2417,-0.056
1B3S_A_D,L,0.25,27,0.2865,0.3977,0.3849,0.0706
1B3S_A_D,L,0.5,27,0.2894,0.3977,0.4932,0.2322
1B3S_A_D,L,1.0,27,0.2975,0.3988,0.6373,0.3676
1B3S_A_D,L,2.0,27,0.2998,0.3991,0.828,0.55
1B3S_A_D,random,0.0,27,0.2841,0.3974,0.2417,-0.056
1B3S_A_D,random,0.25,27,0.2865,0.3974,0.244,-0.038
1B3S_A_D,random,0.5,27,0.2703,0.3976,0.2222,-0.0551
1B3S_A_D,random,1.0,27,0.2442,0.3956,0.1373,-0.1449
1B3S_A_D,random,2.0,27,0.2008,0.3921,-0.0362,-0.3804
1B41_A_B,L,0.0,40,0.2973,0.3803,0.0423,-0.4051
1B41_A_B,L,0.25,40,0.309,0.3803,0.1798,-0.2773
1B41_A_B,L,0.5,40,0.3148,0.3803,0.2648,-0.1962
1B41_A_B,L,1.0,40,0.3148,0.3802,0.424,-0.0596
1B41_A_B,L,2.0,40,0.298,0.38,0.5876,0.0791
1B41_A_B,random,0.0,40,0.2973,0.3803,0.0423,-0.4051
1B41_A_B,random,0.25,40,0.2941,0.3803,0.0498,-0.4241
1B41_A_B,random,0.5,40,0.2969,0.3801,0.0486,-0.4375
1B41_A_B,random,1.0,40,0.2844,0.3798,0.023,-0.5083
1B41_A_B,random,2.0,40,0.2676,0.3798,-0.1082,-0.7258
1BJ1_HL_VW,L,0.0,36,0.1775,0.3874,0.233,-0.3834
1BJ1_HL_VW,L,0.25,36,0.1806,0.3875,0.3868,-0.2732
1BJ1_HL_VW,L,0.5,36,0.1892,0.3875,0.5157,-0.1748
1BJ1_HL_VW,L,1.0,36,0.1975,0.3874,0.6776,-0.0216
1BJ1_HL_VW,L,2.0,36,0.1984,0.3873,0.882,0.1422
1BJ1_HL_VW,random,0.0,36,0.1775,0.3874,0.233,-0.3834
1BJ1_HL_VW,random,0.25,36,0.1836,0.3875,0.2283,-0.3833
1BJ1_HL_VW,random,0.5,36,0.1845,0.3874,0.1941,-0.401
1BJ1_HL_VW,random,1.0,36,0.1853,0.3875,0.1258,-0.456
1BJ1_HL_VW,random,2.0,36,0.1697,0.3869,0.0082,-0.6455
1BP3_A_B,L,0.0,61,0.1555,0.2387,-0.0419,-0.1464
1BP3_A_B,L,0.25,61,0.1644,0.2388,0.0536,-0.0708
1BP3_A_B,L,0.5,61,0.168,0.2382,0.1398,-0.0029
1BP3_A_B,L,1.0,61,0.1706,0.2381,0.2583,0.0961
1BP3_A_B,L,2.0,61,0.1711,0.2383,0.4255,0.2635
1BP3_A_B,random,0.0,61,0.1555,0.2387,-0.0419,-0.1464
1BP3_A_B,random,0.25,61,0.1537,0.2388,-0.0358,-0.1366
1BP3_A_B,random,0.5,61,0.1519,0.2385,-0.0339,-0.1283
1BP3_A_B,random,1.0,61,0.144,0.2386,-0.0457,-0.1326
1BP3_A_B,random,2.0,61,0.1209,0.239,-0.0884,-0.1334
1BRS_A_D,L,0.0,28,0.3292,0.4258,0.1031,0.5709
1BRS_A_D,L,0.25,28,0.3415,0.4257,0.2693,0.7699
1BRS_A_D,L,0.5,28,0.3555,0.4261,0.403,0.898
1BRS_A_D,L,1.0,28,0.3583,0.4272,0.582,1.0706
1BRS_A_D,L,2.0,28,0.3527,0.4283,0.7485,1.2329
1BRS_A_D,random,0.0,28,0.3292,0.4258,0.1031,0.5709
1BRS_A_D,random,0.25,28,0.3287,0.4264,0.0976,0.5406
1BRS_A_D,random,0.5,28,0.322,0.4266,0.0427,0.4317
1BRS_A_D,random,1.0,28,0.2868,0.4257,-0.0872,0.2071
1BRS_A_D,random,2.0,28,0.2288,0.4261,-0.3502,-0.347
1C1Y_A_B,L,0.0,27,0.1811,0.3055,0.0273,-0.0546
1C1Y_A_B,L,0.25,27,0.1898,0.3052,0.1383,0.0445
1C1Y_A_B,L,0.5,27,0.1956,0.3043,0.2252,0.1191
1C1Y_A_B,L,1.0,27,0.2072,0.3044,0.3735,0.2279
1C1Y_A_B,L,2.0,27,0.2164,0.3036,0.5647,0.3369
1C1Y_A_B,random,0.0,27,0.1811,0.3055,0.0273,-0.0546
1C1Y_A_B,random,0.25,27,0.1782,0.3055,0.0289,-0.0519
1C1Y_A_B,random,0.5,27,0.1719,0.305,0.0186,-0.0306
1C1Y_A_B,random,1.0,27,0.1649,0.3057,0.0011,-0.0528
1C1Y_A_B,random,2.0,27,0.1204,0.3051,-0.1096,-0.1627
1CBW_FGH_I,L,0.0,31,0.3185,0.3708,0.1458,0.0282
1CBW_FGH_I,L,0.25,31,0.3065,0.3709,0.2316,0.0946
1CBW_FGH_I,L,0.5,31,0.3065,0.3711,0.3,0.1589
1CBW_FGH_I,L,1.0,31,0.2828,0.3711,0.4342,0.2891
1CBW_FGH_I,L,2.0,31,0.255,0.371,0.6005,0.4793
1CBW_FGH_I,random,0.0,31,0.3185,0.3708,0.1458,0.0282
1CBW_FGH_I,random,0.25,31,0.3085,0.3714,0.1424,0.044
1CBW_FGH_I,random,0.5,31,0.3024,0.3714,0.1219,0.0387
1CBW_FGH_I,random,1.0,31,0.2903,0.3714,0.0874,0.0135
1CBW_FGH_I,random,2.0,31,0.2812,0.3705,-0.0243,-0.0328
1CHO_EFG_I,L,0.0,34,0.2992,0.4301,0.3211,0.1621
1CHO_EFG_I,L,0.25,34,0.2941,0.4293,0.4541,0.2189
1CHO_EFG_I,L,0.5,34,0.296,0.4289,0.5769,0.2837
1CHO_EFG_I,L,1.0,34,0.2886,0.4278,0.7351,0.3762
1CHO_EFG_I,L,2.0,34,0.2757,0.4263,0.9322,0.5148
1CHO_EFG_I,random,0.0,34,0.2992,0.4301,0.3211,0.1621
1CHO_EFG_I,random,0.25,34,0.295,0.4294,0.3,0.1328
1CHO_EFG_I,random,0.5,34,0.2858,0.4294,0.299,0.1214
1CHO_EFG_I,random,1.0,34,0.2606,0.4296,0.2512,0.081
1CHO_EFG_I,random,2.0,34,0.2348,0.4288,0.1829,0.0681
1CSE_E_I,L,0.0,32,0.3511,0.4353,0.2794,-0.4828
1CSE_E_I,L,0.25,32,0.3604,0.4353,0.4267,-0.3401
1CSE_E_I,L,0.5,32,0.3638,0.4359,0.5331,-0.2393
1CSE_E_I,L,1.0,32,0.3667,0.4347,0.6763,-0.1161
1CSE_E_I,L,2.0,32,0.3623,0.4344,0.8713,0.0319
1CSE_E_I,random,0.0,32,0.3511,0.4353,0.2794,-0.4828
1CSE_E_I,random,0.25,32,0.3413,0.4354,0.277,-0.4863
1CSE_E_I,random,0.5,32,0.3354,0.4351,0.2659,-0.4901
1CSE_E_I,random,1.0,32,0.3047,0.4348,0.1937,-0.573
1CSE_E_I,random,2.0,32,0.2588,0.435,0.0456,-0.7501
1CSO_E_I,L,0.0,29,0.3863,0.4547,0.0579,-0.6126
1CSO_E_I,L,0.25,29,0.4003,0.4555,0.2944,-0.3823
1CSO_E_I,L,0.5,29,0.4014,0.4555,0.4391,-0.2474
1CSO_E_I,L,1.0,29,0.3998,0.4552,0.5879,-0.1271
1CSO_E_I,L,2.0,29,0.3933,0.4542,0.7654,-0.0158
1CSO_E_I,random,0.0,29,0.3863,0.4547,0.0579,-0.6126
1CSO_E_I,random,0.25,29,0.3863,0.4553,0.0733,-0.573
1CSO_E_I,random,0.5,29,0.382,0.4558,0.0801,-0.5468
1CSO_E_I,random,1.0,29,0.3475,0.4552,-0.024,-0.728
1CSO_E_I,random,2.0,29,0.2969,0.4543,-0.236,-1.0584
1CT0_E_I,L,0.0,28,0.404,0.4639,0.1105,-0.2045
1CT0_E_I,L,0.25,28,0.4029,0.4638,0.2848,-0.0225
1CT0_E_I,L,0.5,28,0.4129,0.4645,0.4207,0.1196
1CT0_E_I,L,1.0,28,0.409,0.4645,0.5772,0.2552
1CT0_E_I,L,2.0,28,0.3968,0.4639,0.7634,0.4175
1CT0_E_I,random,0.0,28,0.404,0.4639,0.1105,-0.2045
1CT0_E_I,random,0.25,28,0.3878,0.4636,0.0949,-0.2404
1CT0_E_I,random,0.5,28,0.3783,0.4631,0.098,-0.2515
1CT0_E_I,random,1.0,28,0.3343,0.4624,-0.0609,-0.5086
1CT0_E_I,random,2.0,28,0.2695,0.4607,-0.3877,-1.0013
1CT2_E_I,L,0.0,29,0.3906,0.4677,0.1073,-0.1588
1CT2_E_I,L,0.25,29,0.4019,0.4681,0.2883,0.0102
1CT2_E_I,L,0.5,29,0.4041,0.4679,0.4017,0.1041
1CT2_E_I,L,1.0,29,0.4025,0.4673,0.5601,0.2329
1CT2_E_I,L,2.0,29,0.3879,0.4676,0.7476,0.3964
1CT2_E_I,random,0.0,29,0.3906,0.4677,0.1073,-0.1588
1CT2_E_I,random,0.25,29,0.3971,0.4679,0.1124,-0.1555
1CT2_E_I,random,0.5,29,0.3874,0.4669,0.0947,-0.1919
1CT2_E_I,random,1.0,29,0.3696,0.4669,0.0217,-0.3393
1CT2_E_I,random,2.0,29,0.3071,0.4653,-0.1144,-0.6968
1CT4_E_I,L,0.0,29,0.3885,0.4676,-0.0114,-0.3502
1CT4_E_I,L,0.25,29,0.403,0.4685,0.1621,-0.1574
1CT4_E_I,L,0.5,29,0.4116,0.4688,0.2856,-0.0635
1CT4_E_I,L,1.0,29,0.4133,0.4685,0.4467,0.0975
1CT4_E_I,L,2.0,29,0.4095,0.4684,0.6223,0.2243
1CT4_E_I,random,0.0,29,0.3885,0.4676,-0.0114,-0.3502
1CT4_E_I,random,0.25,29,0.3982,0.4676,-0.0267,-0.3787
1CT4_E_I,random,0.5,29,0.4036,0.4677,-0.0563,-0.4063
1CT4_E_I,random,1.0,29,0.3782,0.4662,-0.1602,-0.5951
1CT4_E_I,random,2.0,29,0.3346,0.4645,-0.3782,-1.0082
1CZ8_HL_VW,L,0.0,34,0.1696,0.3891,0.2341,-0.3494
1CZ8_HL_VW,L,0.25,34,0.1765,0.389,0.3808,-0.2354
1CZ8_HL_VW,L,0.5,34,0.1834,0.389,0.5395,-0.1074
1CZ8_HL_VW,L,1.0,34,0.1935,0.3888,0.7038,0.0001
1CZ8_HL_VW,L,2.0,34,0.2109,0.3888,0.907,0.1498
1CZ8_HL_VW,random,0.0,34,0.1696,0.3891,0.2341,-0.3494
1CZ8_HL_VW,random,0.25,34,0.1691,0.3892,0.2599,-0.3189
1CZ8_HL_VW,random,0.5,34,0.1595,0.389,0.2598,-0.3226
1CZ8_HL_VW,random,1.0,34,0.1622,0.389,0.2295,-0.3339
1CZ8_HL_VW,random,2.0,34,0.153,0.3893,0.0438,-0.4517
1DAN_HL_UT,L,0.0,81,0.2697,0.3861,-0.198,-0.334
1DAN_HL_UT,L,0.25,81,0.2901,0.3856,-0.0854,-0.2144
1DAN_HL_UT,L,0.5,81,0.3108,0.3861,0.0055,-0.1143
1DAN_HL_UT,L,1.0,81,0.3301,0.3866,0.1311,0.0195
1DAN_HL_UT,L,2.0,81,0.3499,0.386,0.2702,0.1471
1DAN_HL_UT,random,0.0,81,0.2697,0.3861,-0.198,-0.334
1DAN_HL_UT,random,0.25,81,0.2689,0.3857,-0.1984,-0.3279
1DAN_HL_UT,random,0.5,81,0.2627,0.3856,-0.2041,-0.3272
1DAN_HL_UT,random,1.0,81,0.2506,0.3857,-0.2391,-0.3678
1DAN_HL_UT,random,2.0,81,0.2205,0.3853,-0.3804,-0.5214
1DQJ_AB_C,L,0.0,41,0.2607,0.4005,0.03,-0.0572
1DQJ_AB_C,L,0.25,41,0.2618,0.4003,0.1138,0.0438
1DQJ_AB_C,L,0.5,41,0.2713,0.4,0.2024,0.1561
1DQJ_AB_C,L,1.0,41,0.2725,0.4003,0.341,0.3209
1DQJ_AB_C,L,2.0,41,0.2656,0.4001,0.5474,0.5249
1DQJ_AB_C,random,0.0,41,0.2607,0.4005,0.03,-0.0572
1DQJ_AB_C,random,0.25,41,0.2702,0.4005,0.036,-0.0132
1DQJ_AB_C,random,0.5,41,0.2801,0.4005,0.0453,0.0679
1DQJ_AB_C,random,1.0,41,0.2881,0.4003,0.0405,0.1261
1DQJ_AB_C,random,2.0,41,0.2771,0.4001,-0.0406,0.1263
1DVF_AB_CD,L,0.0,38,0.2336,0.4279,-0.0901,-0.2609
1DVF_AB_CD,L,0.25,38,0.241,0.4281,-0.0164,-0.1879
1DVF_AB_CD,L,0.5,38,0.2471,0.4278,0.0458,-0.133
1DVF_AB_CD,L,1.0,38,0.2619,0.4278,0.1658,-0.0144
1DVF_AB_CD,L,2.0,38,0.278,0.4284,0.3086,0.119
1DVF_AB_CD,random,0.0,38,0.2336,0.4279,-0.0901,-0.2609
1DVF_AB_CD,random,0.25,38,0.2331,0.4281,-0.0758,-0.2492
1DVF_AB_CD,random,0.5,38,0.2299,0.4282,-0.0669,-0.2334
1DVF_AB_CD,random,1.0,38,0.2294,0.428,-0.063,-0.2235
1DVF_AB_CD,random,2.0,38,0.2175,0.4279,-0.1117,-0.2844
1E50_A_B,L,0.0,50,0.3709,0.3234,0.11,0.0488
1E50_A_B,L,0.25,50,0.3794,0.324,0.2364,0.1898
1E50_A_B,L,0.5,50,0.3853,0.3244,0.3284,0.2771
1E50_A_B,L,1.0,50,0.3825,0.3254,0.4886,0.4488
1E50_A_B,L,2.0,50,0.3759,0.3244,0.6427,0.6054
1E50_A_B,random,0.0,50,0.3709,0.3234,0.11,0.0488
1E50_A_B,random,0.25,50,0.3728,0.3237,0.1132,0.0609
1E50_A_B,random,0.5,50,0.3756,0.3237,0.0942,0.0196
1E50_A_B,random,1.0,50,0.3762,0.3223,0.0201,-0.0673
1E50_A_B,random,2.0,50,0.3328,0.3176,-0.2373,-0.3494
1E96_A_B,L,0.0,26,0.2536,0.3227,-0.2202,0.0326
1E96_A_B,L,0.25,26,0.259,0.3229,-0.1019,0.1611
1E96_A_B,L,0.5,26,0.2698,0.3228,-0.0087,0.2536
1E96_A_B,L,1.0,26,0.2849,0.3225,0.1011,0.3093
1E96_A_B,L,2.0,26,0.3011,0.3221,0.2515,0.4182
1E96_A_B,random,0.0,26,0.2536,0.3227,-0.2202,0.0326
1E96_A_B,random,0.25,26,0.247,0.3228,-0.2595,0.0067
1E96_A_B,random,0.5,26,0.2362,0.3228,-0.2871,-0.0272
1E96_A_B,random,1.0,26,0.2037,0.3223,-0.4546,-0.253
1E96_A_B,random,2.0,26,0.1442,0.3225,-0.6683,-0.5409
1EAW_A_B,L,0.0,38,0.3232,0.3334,0.1649,0.3631
1EAW_A_B,L,0.25,38,0.3215,0.3335,0.2695,0.4243
1EAW_A_B,L,0.5,38,0.3191,0.3334,0.3511,0.4515
1EAW_A_B,L,1.0,38,0.308,0.3331,0.5043,0.5321
1EAW_A_B,L,2.0,38,0.2932,0.3336,0.677,0.6404
1EAW_A_B,random,0.0,38,0.3232,0.3334,0.1649,0.3631
1EAW_A_B,random,0.25,38,0.3133,0.3341,0.1723,0.3879
1EAW_A_B,random,0.5,38,0.3047,0.3341,0.1785,0.3884
1EAW_A_B,random,1.0,38,0.287,0.3337,0.1992,0.3964
1EAW_A_B,random,2.0,38,0.2525,0.3336,0.1969,0.4255
1EFN_A_B,L,0.0,22,0.3629,0.3377,-0.2302,-0.8503
1EFN_A_B,L,0.25,22,0.3928,0.3368,-0.0807,-0.7071
1EFN_A_B,L,0.5,22,0.4134,0.3376,0.042,-0.5971
1EFN_A_B,L,1.0,22,0.4311,0.3385,0.2017,-0.4561
1EFN_A_B,L,2.0,22,0.4503,0.3375,0.3797,-0.3598
1EFN_A_B,random,0.0,22,0.3629,0.3377,-0.2302,-0.8503
1EFN_A_B,random,0.25,22,0.3615,0.3373,-0.2639,-0.8887
1EFN_A_B,random,0.5,22,0.3594,0.3372,-0.3271,-0.9316
1EFN_A_B,random,1.0,22,0.3288,0.337,-0.5057,-1.2339
1EFN_A_B,random,2.0,22,0.2862,0.3355,-0.7081,-1.6404
1EMV_A_B,L,0.0,36,0.3003,0.3581,0.1094,-0.5545
1EMV_A_B,L,0.25,36,0.3181,0.358,0.3057,-0.2957
1EMV_A_B,L,0.5,36,0.3303,0.3581,0.414,-0.1423
1EMV_A_B,L,1.0,36,0.3429,0.3581,0.5735,0.0996
1EMV_A_B,L,2.0,36,0.3563,0.3583,0.7292,0.2568
1EMV_A_B,random,0.0,36,0.3003,0.3581,0.1094,-0.5545
1EMV_A_B,random,0.25,36,0.3051,0.3574,0.1294,-0.5204
1EMV_A_B,random,0.5,36,0.2973,0.3578,0.116,-0.5258
1EMV_A_B,random,1.0,36,0.2799,0.3571,0.0095,-0.582
1EMV_A_B,random,2.0,36,0.2396,0.357,-0.1795,-0.8244
1F47_A_B,L,0.0,24,0.2689,0.3433,-0.4568,-1.1898
1F47_A_B,L,0.25,24,0.304,0.3434,-0.2669,-0.9382
1F47_A_B,L,0.5,24,0.3249,0.3433,-0.1373,-0.7634
1F47_A_B,L,1.0,24,0.3646,0.3424,0.0451,-0.56
1F47_A_B,L,2.0,24,0.388,0.3432,0.2175,-0.4069
1F47_A_B,random,0.0,24,0.2689,0.3433,-0.4568,-1.1898
1F47_A_B,random,0.25,24,0.2721,0.3436,-0.4341,-1.1808
1F47_A_B,random,0.5,24,0.2741,0.3439,-0.4018,-1.1193
1F47_A_B,random,1.0,24,0.2643,0.3444,-0.3985,-1.1089
1F47_A_B,random,2.0,24,0.2467,0.3448,-0.3972,-1.0486
1F5R_A_I,L,0.0,30,0.3875,0.4069,0.1039,-0.1077
1F5R_A_I,L,0.25,30,0.3896,0.4066,0.2141,-0.0456
1F5R_A_I,L,0.5,30,0.3901,0.4069,0.2832,0.0139
1F5R_A_I,L,1.0,30,0.3797,0.4075,0.4232,0.1131
1F5R_A_I,L,2.0,30,0.3375,0.4068,0.5709,0.2653
1F5R_A_I,random,0.0,30,0.3875,0.4069,0.1039,-0.1077
1F5R_A_I,random,0.25,30,0.3807,0.4066,0.0913,-0.0978
1F5R_A_I,random,0.5,30,0.3797,0.4061,0.0867,-0.1135
1F5R_A_I,random,1.0,30,0.362,0.4061,0.0471,-0.1306
1F5R_A_I,random,2.0,30,0.3151,0.4054,-0.0332,-0.1933
1FC2_C_D,L,0.0,24,0.2096,0.2717,0.0344,-0.5676
1FC2_C_D,L,0.25,24,0.2227,0.2722,0.1831,-0.4207
1FC2_C_D,L,0.5,24,0.2233,0.2717,0.2694,-0.3298
1FC2_C_D,L,1.0,24,0.2298,0.2728,0.4263,-0.1731
1FC2_C_D,L,2.0,24,0.2168,0.2725,0.5945,0.0099
1FC2_C_D,random,0.0,24,0.2096,0.2717,0.0344,-0.5676
1FC2_C_D,random,0.25,24,0.2038,0.2716,-0.0014,-0.6054
1FC2_C_D,random,0.5,24,0.1888,0.2712,-0.0423,-0.6422
1FC2_C_D,random,1.0,24,0.1699,0.2713,-0.1735,-0.817
1FC2_C_D,random,2.0,24,0.1439,0.2708,-0.292,-0.9554
1FCC_A_C,L,0.0,26,0.2055,0.2762,0.1441,-0.2303
1FCC_A_C,L,0.25,26,0.2001,0.2761,0.2361,-0.1468
1FCC_A_C,L,0.5,26,0.1983,0.2755,0.3153,-0.0802
1FCC_A_C,L,1.0,26,0.1785,0.2766,0.4307,-0.0048
1FCC_A_C,L,2.0,26,0.1556,0.2766,0.6014,0.1392
1FCC_A_C,random,0.0,26,0.2055,0.2762,0.1441,-0.2303
1FCC_A_C,random,0.25,26,0.1959,0.2768,0.1594,-0.2131
1FCC_A_C,random,0.5,26,0.1881,0.2765,0.1523,-0.2177
1FCC_A_C,random,1.0,26,0.1665,0.2761,0.1685,-0.2056
1FCC_A_C,random,2.0,26,0.14,0.276,0.1743,-0.1978
1FFW_A_B,L,0.0,25,0.3125,0.3732,-0.1824,-0.8735
1FFW_A_B,L,0.25,25,0.3475,0.3732,-0.0113,-0.5791
1FFW_A_B,L,0.5,25,0.3669,0.3727,0.1067,-0.395
1FFW_A_B,L,1.0,25,0.3906,0.3735,0.269,-0.1646
1FFW_A_B,L,2.0,25,0.41,0.3738,0.3789,-0.0119
1FFW_A_B,random,0.0,25,0.3125,0.3732,-0.1824,-0.8735
1FFW_A_B,random,0.25,25,0.3137,0.3736,-0.1843,-0.8727
1FFW_A_B,random,0.5,25,0.3056,0.3735,-0.2192,-0.9405
1FFW_A_B,random,1.0,25,0.2725,0.3734,-0.3473,-1.2221
1FFW_A_B,random,2.0,25,0.1638,0.3717,-0.7483,-2.1248
1FR2_A_B,L,0.0,36,0.309,0.3549,0.1136,-0.6286
1FR2_A_B,L,0.25,36,0.3203,0.3557,0.2868,-0.4291
1FR2_A_B,L,0.5,36,0.3194,0.3564,0.4046,-0.3049
1FR2_A_B,L,1.0,36,0.3268,0.3566,0.5704,-0.152
1FR2_A_B,L,2.0,36,0.3225,0.3564,0.7177,-0.0661
1FR2_A_B,random,0.0,36,0.309,0.3549,0.1136,-0.6286
1FR2_A_B,random,0.25,36,0.2973,0.3552,0.0908,-0.6591
1FR2_A_B,random,0.5,36,0.2826,0.3555,0.0283,-0.7444
1FR2_A_B,random,1.0,36,0.2543,0.3552,-0.1164,-0.9591
1FR2_A_B,random,2.0,36,0.2127,0.3551,-0.3405,-1.2796
1FSS_A_B,L,0.0,42,0.2969,0.3468,-0.0633,-0.5476
1FSS_A_B,L,0.25,42,0.3106,0.3467,0.0367,-0.4247
1FSS_A_B,L,0.5,42,0.3181,0.3466,0.1266,-0.323
1FSS_A_B,L,1.0,42,0.33,0.3468,0.2519,-0.1902
1FSS_A_B,L,2.0,42,0.3118,0.3466,0.3934,-0.0782
1FSS_A_B,random,0.0,42,0.2969,0.3468,-0.0633,-0.5476
1FSS_A_B,random,0.25,42,0.298,0.3468,-0.0762,-0.5685
1FSS_A_B,random,0.5,42,0.3051,0.3467,-0.0727,-0.5531
1FSS_A_B,random,1.0,42,0.2976,0.3465,-0.1348,-0.6295
1FSS_A_B,random,2.0,42,0.2842,0.3465,-0.2712,-0.8209
1FY8_E_I,L,0.0,31,0.3629,0.4191,0.1576,0.0795
1FY8_E_I,L,0.25,31,0.3735,0.4197,0.2762,0.1362
1FY8_E_I,L,0.5,31,0.374,0.419,0.3431,0.1726
1FY8_E_I,L,1.0,31,0.3558,0.4183,0.4656,0.2393
1FY8_E_I,L,2.0,31,0.3261,0.4177,0.6066,0.3165
1FY8_E_I,random,0.0,31,0.3629,0.4191,0.1576,0.0795
