complex_id,direction,alpha,n_int,int_recovery,meanL_mpnn,meanL_esmif
1KIQ_AB_C,L,2.0,30,0.3406,0.2599,1.1254
1KIQ_AB_C,random,0.0,30,0.3958,-0.0564,0.1293
1KIQ_AB_C,random,2.0,30,0.2797,-0.0949,-0.108
1LFD_A_B,L,0.0,24,0.4271,-0.122,0.3683
1LFD_A_B,L,2.0,24,0.3672,0.0469,1.1262
1LFD_A_B,random,0.0,24,0.4466,-0.1404,0.3799
1LFD_A_B,random,2.0,24,0.2461,-0.2801,0.3697
1P69_A_B,L,0.0,34,0.4563,-0.0531,0.1344
1P69_A_B,L,2.0,34,0.455,0.1564,0.6094
1P69_A_B,random,0.0,34,0.4577,-0.0696,0.1143
1P69_A_B,random,2.0,34,0.2744,-0.2534,-0.1562
1R0R_E_I,L,0.0,33,0.6506,0.1409,0.7422
1R0R_E_I,L,2.0,33,0.5308,0.4583,1.7509
1R0R_E_I,random,0.0,33,0.6312,0.1531,0.7262
1R0R_E_I,random,2.0,33,0.5137,0.197,0.9297
1S0W_A_C,L,0.0,50,0.3728,0.3387,0.4963
1S0W_A_C,L,2.0,50,0.2928,0.6325,1.3651
1S0W_A_C,random,0.0,50,0.3816,0.3532,0.4975
1S0W_A_C,random,2.0,50,0.3141,0.163,0.1791
1SBB_A_B,L,0.0,26,0.357,-0.1009,0.3707
1SBB_A_B,L,2.0,26,0.2716,0.3085,1.5771
1SBB_A_B,random,0.0,26,0.3419,-0.103,0.4096
1SBB_A_B,random,2.0,26,0.2873,-0.1485,0.2411
1SBN_E_I,L,0.0,35,0.483,0.25,0.3882
1SBN_E_I,L,2.0,35,0.3549,0.5736,1.0831
1SBN_E_I,random,0.0,35,0.4741,0.2259,0.3757
1SBN_E_I,random,2.0,35,0.3116,0.222,0.1669
1SGY_E_I,L,0.0,28,0.6574,0.0031,0.3563
1SGY_E_I,L,2.0,28,0.5452,0.2784,1.1104
1SGY_E_I,random,0.0,28,0.6445,0.0062,0.2884
1SGY_E_I,random,2.0,28,0.5061,0.0199,0.1086
1TM7_E_I,L,0.0,35,0.5138,-0.0073,0.2198
1TM7_E_I,L,2.0,35,0.4076,0.1944,0.9709
1TM7_E_I,random,0.0,35,0.5089,-0.0255,0.2124
1TM7_E_I,random,2.0,35,0.4379,0.0979,0.158
1TMG_E_I,L,0.0,35,0.5335,-0.018,0.2251
1TMG_E_I,L,2.0,35,0.4004,0.2526,1.0274
1TMG_E_I,random,0.0,35,0.5219,-0.0202,0.2399
1TMG_E_I,random,2.0,35,0.4741,0.0083,0.2349
1VFB_AB_C,L,0.0,33,0.446,-0.0465,0.0253
1VFB_AB_C,L,2.0,33,0.3381,0.2267,1.2494
1VFB_AB_C,random,0.0,33,0.4413,-0.0376,0.0319
1VFB_AB_C,random,2.0,33,0.3712,-0.119,-0.0313
1X1X_A_D,L,0.0,30,0.5531,-0.0246,0.6588
1X1X_A_D,L,2.0,30,0.3609,0.296,1.9508
1X1X_A_D,random,0.0,30,0.5521,0.0006,0.6856
1X1X_A_D,random,2.0,30,0.3969,-0.4474,0.0373
1XGP_AB_C,L,0.0,36,0.3342,0.0982,0.5207
1XGP_AB_C,L,2.0,36,0.2235,0.4241,1.4718
1XGP_AB_C,random,0.0,36,0.3216,0.0948,0.4985
1XGP_AB_C,random,2.0,36,0.339,-0.0726,0.0833
1Y48_E_I,L,0.0,35,0.546,-0.1183,0.049
1Y48_E_I,L,2.0,35,0.4571,0.1209,0.5933
1Y48_E_I,random,0.0,35,0.5487,-0.1027,0.0518
1Y48_E_I,random,2.0,35,0.4665,-0.1972,-0.3199
1Y4A_E_I,L,0.0,41,0.4722,0.144,0.3956
1Y4A_E_I,L,2.0,41,0.3399,0.3647,1.1504
1Y4A_E_I,random,0.0,41,0.487,0.1408,0.3844
1Y4A_E_I,random,2.0,41,0.4611,0.0422,0.2228
2AW2_A_B,L,0.0,42,0.4494,0.0295,0.0851
2AW2_A_B,L,2.0,42,0.4159,0.1917,0.6666
2AW2_A_B,random,0.0,42,0.4524,0.029,0.0848
2AW2_A_B,random,2.0,42,0.3698,-0.4205,-0.8125
2B12_A_B,L,0.0,21,0.4159,-0.0352,0.1437
2B12_A_B,L,2.0,21,0.3393,0.1716,1.1286
2B12_A_B,random,0.0,21,0.4382,-0.056,0.062
2B12_A_B,random,2.0,21,0.16,-0.0054,0.0398
2HRK_A_B,L,0.0,25,0.4988,-0.0923,0.082
2HRK_A_B,L,2.0,25,0.4844,0.2588,0.6553
2HRK_A_B,random,0.0,25,0.4963,-0.0903,0.0797
2HRK_A_B,random,2.0,25,0.2194,-0.8666,-1.6487
2JEL_LH_P,L,0.0,32,0.4224,0.1341,0.6251
2JEL_LH_P,L,2.0,32,0.3125,0.2966,1.6394
2JEL_LH_P,random,0.0,32,0.4258,0.0991,0.5782
2JEL_LH_P,random,2.0,32,0.2783,-0.2433,-0.2008
2KSO_A_B,L,0.0,22,0.2564,0.2105,0.2177
2KSO_A_B,L,2.0,22,0.196,0.5253,0.8805
2KSO_A_B,random,0.0,22,0.2607,0.2236,0.2183
2KSO_A_B,random,2.0,22,0.2166,0.1895,0.2351
2NU2_E_I,L,0.0,29,0.6584,0.0723,0.253
2NU2_E_I,L,2.0,29,0.5377,0.433,1.1312
2NU2_E_I,random,0.0,29,0.6568,0.0845,0.2365
2NU2_E_I,random,2.0,29,0.4607,-0.2483,-0.4694
2OI9_AQ_BC,L,0.0,42,0.4081,-0.0583,0.1861
2OI9_AQ_BC,L,2.0,42,0.3285,0.1287,0.8873
2OI9_AQ_BC,random,0.0,42,0.4066,-0.0525,0.1934
2OI9_AQ_BC,random,2.0,42,0.3545,-0.1536,0.0514
2REX_A_B,L,0.0,26,0.5817,-0.0096,0.0977
2REX_A_B,L,2.0,26,0.503,0.0465,0.8569
2REX_A_B,random,0.0,26,0.5757,0.0004,0.1682
2REX_A_B,random,2.0,26,0.3714,-0.4403,-0.7757
2SIC_E_I,L,0.0,32,0.4844,0.047,0.9235
2SIC_E_I,L,2.0,32,0.3545,0.5288,1.8014
2SIC_E_I,random,0.0,32,0.4805,0.0612,0.927
2SIC_E_I,random,2.0,32,0.4595,-0.219,0.6905
3BK3_A_C,L,0.0,29,0.4111,-0.1802,0.2315
3BK3_A_C,L,2.0,29,0.3906,-0.0074,0.8123
3BK3_A_C,random,0.0,29,0.4192,-0.1643,0.246
3BK3_A_C,random,2.0,29,0.271,-0.6569,-0.31
3BT1_A_U,L,0.0,58,0.3335,0.117,0.2195
3BT1_A_U,L,2.0,58,0.3268,0.3563,0.7917
3BT1_A_U,random,0.0,58,0.327,0.1319,0.2396
3BT1_A_U,random,2.0,58,0.3087,-0.1341,-0.2653
3BTF_E_I,L,0.0,31,0.6769,0.034,0.3381
3BTF_E_I,L,2.0,31,0.5655,0.4109,0.9886
3BTF_E_I,random,0.0,31,0.6789,0.0368,0.3558
3BTF_E_I,random,2.0,31,0.5307,-0.1396,0.171
3BTH_E_I,L,0.0,31,0.6668,0.0014,0.1889
3BTH_E_I,L,2.0,31,0.5237,0.5322,1.2061
3BTH_E_I,random,0.0,31,0.6583,-0.0017,0.151
3BTH_E_I,random,2.0,31,0.4849,0.1024,0.3191
3BTM_E_I,L,0.0,30,0.688,-0.0343,0.3049
3BTM_E_I,L,2.0,30,0.563,0.3757,1.0432
3BTM_E_I,random,0.0,30,0.6786,-0.0149,0.3362
3BTM_E_I,random,2.0,30,0.5339,0.2004,0.2444
3EQS_A_B,L,0.0,23,0.4885,-0.1566,-0.0216
3EQS_A_B,L,2.0,23,0.5299,-0.0926,0.4652
3EQS_A_B,random,0.0,23,0.4844,-0.161,0.0363
3EQS_A_B,random,2.0,23,0.1515,-0.976,-1.7441
3HFM_HL_Y,L,0.0,38,0.2303,0.0047,0.3932
3HFM_HL_Y,L,2.0,38,0.0942,0.1868,1.5819
3HFM_HL_Y,random,0.0,38,0.222,0.0075,0.4125
3HFM_HL_Y,random,2.0,38,0.1472,-0.0126,0.6319
3KUD_A_B,L,0.0,23,0.4219,0.019,0.1976
3KUD_A_B,L,2.0,23,0.2378,0.0857,1.0255
3KUD_A_B,random,0.0,23,0.4022,0.0019,0.2086
3KUD_A_B,random,2.0,23,0.3071,-0.0842,0.0882
3N0P_A_B,L,0.0,48,0.3252,0.1399,0.2365
3N0P_A_B,L,2.0,48,0.3037,0.3962,0.9904
3N0P_A_B,random,0.0,48,0.3219,0.1367,0.2491
3N0P_A_B,random,2.0,48,0.2318,-0.1679,-0.4321
3N4I_A_B,L,0.0,55,0.4233,0.1013,0.2885
3N4I_A_B,L,2.0,55,0.3597,0.454,1.0565
3N4I_A_B,random,0.0,55,0.423,0.1061,0.2931
3N4I_A_B,random,2.0,55,0.3892,-0.0581,-0.0506
3Q8D_A_E,L,0.0,7,0.6451,0.1103,0.4806
3Q8D_A_E,L,2.0,7,0.4263,0.2108,1.1418
3Q8D_A_E,random,0.0,7,0.6496,0.042,0.4752
3Q8D_A_E,random,2.0,7,0.6339,0.3262,0.4732
3SE3_B_C,L,0.0,39,0.2488,0.0462,0.1971
3SE3_B_C,L,2.0,39,0.2628,0.3519,1.0615
3SE3_B_C,random,0.0,39,0.2452,0.0794,0.2394
3SE3_B_C,random,2.0,39,0.1254,-0.376,-0.4499
3SE4_B_C,L,0.0,39,0.2528,0.0376,-0.0091
3SE4_B_C,L,2.0,39,0.2672,0.4157,0.7433
3SE4_B_C,random,0.0,39,0.2548,0.0481,-0.0091
3SE4_B_C,random,2.0,39,0.2484,-0.1016,-0.2894
3TGK_E_I,L,0.0,32,0.6558,-0.0919,0.1195
3TGK_E_I,L,2.0,32,0.5396,0.2043,0.9457
3TGK_E_I,random,0.0,32,0.6475,-0.0833,0.1265
3TGK_E_I,random,2.0,32,0.6089,-0.1749,-0.0343
3UIG_A_P,L,0.0,14,0.1696,0.087,0.0276
3UIG_A_P,L,2.0,14,0.1496,0.3785,0.6927
3UIG_A_P,random,0.0,14,0.1451,0.0912,0.0361
3UIG_A_P,random,2.0,14,0.1696,0.191,-0.1182
3UIH_A_P,L,0.0,9,0.2708,0.1953,0.4324
3UIH_A_P,L,2.0,9,0.2882,0.563,1.0541
3UIH_A_P,random,0.0,9,0.2622,0.164,0.3917
3UIH_A_P,random,2.0,9,0.2951,-0.2689,0.1571
4BFI_A_B,L,0.0,41,0.3841,0.0417,0.0789
4BFI_A_B,L,2.0,41,0.4912,0.3246,0.6263
4BFI_A_B,random,0.0,41,0.3784,0.0459,0.0968
4BFI_A_B,random,2.0,41,0.2698,-0.2566,-0.7768
4EKD_A_B,L,0.0,47,0.4558,0.1562,0.4326
4EKD_A_B,L,2.0,47,0.3637,0.3001,0.9841
4EKD_A_B,random,0.0,47,0.4678,0.1577,0.42
4EKD_A_B,random,2.0,47,0.4186,-0.0062,0.3572
4G0N_A_B,L,0.0,25,0.4656,0.0737,0.4001
4G0N_A_B,L,2.0,25,0.2812,0.1135,1.0704
4G0N_A_B,random,0.0,25,0.4906,0.0691,0.3641
4G0N_A_B,random,2.0,25,0.4606,-0.1469,0.2051
4KRL_A_B,L,0.0,30,0.376,-0.0818,-0.052
4KRL_A_B,L,2.0,30,0.3797,0.1465,0.5084
4KRL_A_B,random,0.0,30,0.3698,-0.0645,-0.0366
4KRL_A_B,random,2.0,30,0.3187,-0.119,-0.1424
4L0P_A_B,L,0.0,56,0.4174,-0.0395,-0.1769
4L0P_A_B,L,2.0,56,0.4735,0.0812,0.29
4L0P_A_B,random,0.0,56,0.4152,-0.0468,-0.1527
4L0P_A_B,random,2.0,56,0.3078,-0.2835,-0.9666
4MYW_A_B,L,0.0,45,0.2955,-0.0068,0.3941
4MYW_A_B,L,2.0,45,0.3066,0.1754,0.9652
4MYW_A_B,random,0.0,45,0.2962,-0.0327,0.3888
4MYW_A_B,random,2.0,45,0.3149,-0.3518,-0.2433
4N8V_G_ABC,L,0.0,29,0.375,0.2716,0.5078
4N8V_G_ABC,L,2.0,29,0.2947,0.3965,1.2683
4N8V_G_ABC,random,0.0,29,0.382,0.2611,0.5102
4N8V_G_ABC,random,2.0,29,0.2812,0.1494,0.2557
5F4E_A_B,L,0.0,38,0.2743,0.0212,0.3731
5F4E_A_B,L,2.0,38,0.2327,0.188,0.9613
5F4E_A_B,random,0.0,38,0.2825,0.0471,0.377
5F4E_A_B,random,2.0,38,0.2521,-0.0617,-0.184
5M2O_A_B,L,0.0,40,0.5871,0.035,0.0258
5M2O_A_B,L,2.0,40,0.5777,0.2456,1.0525
5M2O_A_B,random,0.0,40,0.5922,0.013,0.0502
5M2O_A_B,random,2.0,40,0.3992,-0.4102,-0.5782
5TAR_A_B,L,0.0,15,0.3406,0.0393,0.2262
5TAR_A_B,L,2.0,15,0.3156,0.3958,1.3935
5TAR_A_B,random,0.0,15,0.3375,0.0332,0.2817
5TAR_A_B,random,2.0,15,0.3927,0.167,-0.0312
