complex_id,cif,avg_plddt,ptm,iptm,ranking,interface_plddt,n_res,rmsd_ca_global,rmsd_ca_interface
1DQJ_AB_C,1DQJ_AB_C_seed_2746317213_sample_4_model.cif,90.345047,0.752523,0.667302,0.684346,81.8367686097561,553,1.6997113990457255,1.1635122913112073
1DVF_AB_CD,1DVF_AB_CD_seed_2746317213_sample_4_model.cif,91.891396,0.714375,0.63131,0.647923,80.43727844736843,451,0.9793876483170222,0.9878310386951
1E50_A_B,1E50_A_B_seed_2746317213_sample_2_model.cif,91.178436,0.923668,0.925596,0.92521,95.21408589999999,245,1.9746750674716305,1.9525945666442461
1EFN_A_B,1EFN_A_B_seed_2746317213_sample_2_model.cif,86.884781,0.778195,0.779476,0.77922,92.03710677272727,161,1.3000706053232818,0.8677652743450004
1EMV_A_B,1EMV_A_B_seed_2746317213_sample_2_model.cif,90.997169,0.878653,0.88147,0.880906,95.88795061111111,214,1.1639727723567954,0.27096939079487753
1F47_A_B,1F47_A_B_seed_2746317213_sample_1_model.cif,90.271049,0.897328,0.808268,0.878875,94.26560579166666,161,0.8387994715154516,0.5268122667221047
1FC2_C_D,1FC2_C_D_seed_2746317213_sample_4_model.cif,85.348373,0.792826,0.396109,0.475453,81.12151658333333,249,15.709815821041671,14.493038908973812
1FCC_A_C,1FCC_A_C_seed_2746317213_sample_3_model.cif,93.754173,0.887156,0.900199,0.897591,94.96059257692306,262,1.1351351563041572,0.6790291484165826
1FFW_A_B,1FFW_A_B_seed_2746317213_sample_1_model.cif,84.888443,0.770226,0.737428,0.743988,86.686472,196,1.1374620406835483,0.9234988751867176
1GC1_G_C,1GC1_G_C_seed_2746317213_sample_3_model.cif,88.104614,0.873355,0.865821,0.870466,92.65339004444445,478,3.148972240678612,1.5646025735717877
1GCQ_AB_C,1GCQ_AB_C_seed_2746317213_sample_1_model.cif,89.061005,0.71868,0.597364,0.621627,88.25921523404254,182,9.048955157670123,7.317027943260945
1GUA_A_B,1GUA_A_B_seed_2746317213_sample_5_model.cif,88.618027,0.882046,0.827352,0.838291,89.59560270370372,243,1.4562511759452503,0.9599098130455233
1H9D_A_B,1H9D_A_B_seed_2746317213_sample_3_model.cif,88.029388,0.881678,0.869994,0.872331,92.84082810416668,250,2.392762247163203,0.6947310600090584
1IAR_A_B,1IAR_A_B_seed_2746317213_sample_5_model.cif,90.384201,0.888631,0.875433,0.878073,95.38971684848484,317,1.572832160212461,0.8406758650537661
1JCK_A_B,1JCK_A_B_seed_2746317213_sample_1_model.cif,86.024742,0.570353,0.208353,0.280753,76.71203955172413,477,28.628273195615378,27.663070459635552
1JRH_LH_I,1JRH_LH_I_seed_2746317213_sample_4_model.cif,75.055977,0.624171,0.551728,0.618253,68.62116165625,442,16.390032738588904,9.090201237476437
1JTD_A_B,1JTD_A_B_seed_2746317213_sample_5_model.cif,89.101242,0.573325,0.176714,0.256036,79.81175015384616,535,15.825408329239181,15.198103831555828
1JTG_A_B,1JTG_A_B_seed_2746317213_sample_3_model.cif,90.539871,0.864446,0.719471,0.748466,83.27641212962962,427,1.3715813783694026,2.1651858927734753
1K8R_A_B,1K8R_A_B_seed_2746317213_sample_1_model.cif,67.05526,0.617624,0.132935,0.229873,51.432604360000006,248,10.508380776120708,8.52119051532976
1KTZ_A_B,1KTZ_A_B_seed_2746317213_sample_2_model.cif,90.440308,0.823771,0.819382,0.82026,96.64521321052632,188,1.985009052759233,0.4390794560299369
1LFD_A_B,1LFD_A_B_seed_2746317213_sample_3_model.cif,84.97023,0.781762,0.624662,0.656082,78.69251141666666,254,1.205372631338231,1.0892380052183797
1MI5_ABC_DE,1MI5_ABC_DE_seed_2746317213_sample_3_model.cif,93.987183,0.88117,0.847755,0.859879,84.47041751111111,827,3.1178408579378756,2.7607478970324864
1N8Z_AB_C,1N8Z_AB_C_seed_2746317213_sample_3_model.cif,88.741592,0.564898,0.360301,0.401221,73.86598547058824,1015,22.95505258835082,20.40288673986009
1NMB_N_LH,1NMB_N_LH_seed_2746317213_sample_2_model.cif,86.747345,0.698909,0.475634,0.520289,75.80244409090909,619,14.842517702845614,13.170864859638293
1OGA_ABC_DE,1OGA_ABC_DE_seed_2746317213_sample_4_model.cif,91.117638,0.785822,0.752777,0.764847,80.6000542972973,824,2.197808766456638,2.4057314387683104
1PPF_E_I,1PPF_E_I_seed_2746317213_sample_2_model.cif,93.71817,0.944646,0.927454,0.94914,96.04022666666668,274,0.5992520775444028,0.8562966635292468
1R0R_E_I,1R0R_E_I_seed_2746317213_sample_2_model.cif,96.502823,0.968027,0.941333,0.952825,97.06077851515153,325,0.5928493684220106,0.3521187356885661
1REW_AB_C,1REW_AB_C_seed_2746317213_sample_2_model.cif,93.580704,0.921717,0.926769,0.925759,95.17593058695653,292,22.63401228660827,19.93661920190357
1S1Q_A_B,1S1Q_A_B_seed_2746317213_sample_3_model.cif,90.661224,0.87774,0.847378,0.853451,92.80889731034485,213,0.6623782433211293,0.46744140226144953
1SMF_E_I,1SMF_E_I_seed_2746317213_sample_5_model.cif,97.832008,0.969755,0.96863,0.988252,98.6620697826087,232,0.2267682696570063,0.1586724046494239
1TM1_E_I,1TM1_E_I_seed_2746317213_sample_3_model.cif,95.566216,0.956694,0.931555,0.936583,96.40051462857143,345,2.1018898926699827,0.5798809994591346
1U7F_B_AC,1U7F_B_AC_seed_2746317213_sample_3_model.cif,92.209488,0.936792,0.924748,0.946748,92.94863669473686,587,30.551437298627278,21.379088328509134
1UUZ_A_D,1UUZ_A_D_seed_2746317213_sample_4_model.cif,94.673935,0.945245,0.934477,0.93663,97.5082819047619,258,0.8743920561603871,1.0692053682903073
1VFB_AB_C,1VFB_AB_C_seed_2746317213_sample_5_model.cif,92.911484,0.820004,0.74552,0.760416,87.80677621212119,352,13.193053353300726,11.701945021759082
1XGQ_AB_C,1XGQ_AB_C_seed_2746317213_sample_5_model.cif,91.539978,0.794508,0.729123,0.7422,83.50857256410256,554,1.390909995272729,1.204666504606696
1XGR_AB_C,1XGR_AB_C_seed_2746317213_sample_3_model.cif,93.951698,0.885588,0.872726,0.875298,93.06478286842105,554,1.3925890794214277,0.5560964220465829
1XGT_AB_C,1XGT_AB_C_seed_2746317213_sample_1_model.cif,94.016594,0.891368,0.880427,0.882615,94.13789919999999,554,0.7233452211830319,0.5047516059639298
1XGU_AB_C,1XGU_AB_C_seed_2746317213_sample_3_model.cif,94.283615,0.897395,0.889983,0.891465,93.97383565853657,553,1.2479960301097386,0.9135236846084679
1Z7X_W_X,1Z7X_W_X_seed_2746317213_sample_1_model.cif,92.159149,0.915095,0.887341,0.892892,93.64910565625001,586,1.09809450657253,0.44154611277305245
2A9K_A_B,2A9K_A_B_seed_2746317213_sample_4_model.cif,84.17141,0.601635,0.205694,0.284882,79.6842222972973,377,19.297071216640603,15.162081016466063
2AJF_A_E,2AJF_A_E_seed_2746317213_sample_4_model.cif,84.274254,0.686122,0.166207,0.27019,78.22900866666667,771,20.866307267360455,12.614671689134013
2AK4_ABC_DE,2AK4_ABC_DE_seed_2746317213_sample_3_model.cif,92.689247,0.793819,0.736557,0.755813,76.64665664864864,833,3.74406278716601,3.7169562056819943
2AW2_A_B,2AW2_A_B_seed_2746317213_sample_5_model.cif,89.175728,0.850072,0.84574,0.863273,95.23325226190477,210,2.057154730395738,0.6147638928682896
2B42_A_B,2B42_A_B_seed_2746317213_sample_2_model.cif,92.12516,0.907126,0.888676,0.892366,91.54032470689654,548,1.7980999818549877,0.9839257263114173
2BNR_ABC_DE,2BNR_ABC_DE_seed_2746317213_sample_1_model.cif,93.639168,0.827218,0.787322,0.800729,84.52824004347825,829,1.3284638203552368,1.094406935412577
2BTF_A_P,2BTF_A_P_seed_2746317213_sample_4_model.cif,92.554497,0.912721,0.921107,0.91943,95.96680863414635,512,1.5463282013420943,0.5249630430388552
2FTL_E_I,2FTL_E_I_seed_2746317213_sample_4_model.cif,95.836754,0.950657,0.943146,0.944649,98.181166,279,0.8381617635425246,0.2895762222425036
2G2U_A_B,2G2U_A_B_seed_2746317213_sample_3_model.cif,89.083656,0.860921,0.699558,0.73183,85.17227849056601,430,20.106365449425503,16.566637527617534
2GOX_A_B,2GOX_A_B_seed_2746317213_sample_1_model.cif,87.713722,0.903927,0.925897,0.921503,93.47449145945946,362,1.381411409674873,0.7773230204195647
2J0T_A_D,2J0T_A_D_seed_2746317213_sample_2_model.cif,88.768829,0.873375,0.853633,0.857581,92.19008364705883,285,1.2082963902288428,0.6954493645513584
2NYY_DC_A,2NYY_DC_A_seed_2746317213_sample_3_model.cif,72.32077,0.370521,0.29319,0.310127,74.40183590476192,1700,38.34851853230731,2.2176195029191303
2NZ9_DC_A,2NZ9_DC_A_seed_2746317213_sample_5_model.cif,70.675835,0.363721,0.284847,0.300621,72.04617979545456,1700,29.854948094930656,3.6419416355925747
2O3B_A_B,2O3B_A_B_seed_2746317213_sample_1_model.cif,94.675255,0.936264,0.892127,0.900954,96.21063286486486,376,1.0635724615430657,0.44134928124203826
2PCC_A_B,2PCC_A_B_seed_2746317213_sample_3_model.cif,89.692261,0.805472,0.386842,0.470568,79.63089896551725,402,3.70320009800849,4.171078764251991
2WPT_A_B,2WPT_A_B_seed_2746317213_sample_3_model.cif,92.687279,0.908694,0.900545,0.902175,96.9307063888889,195,0.6695774218811045,0.45652023254200125
3AAA_AB_C,3AAA_AB_C_seed_2746317213_sample_1_model.cif,91.148094,0.882193,0.859977,0.890445,83.9670208888889,634,1.356947965367384,1.6525477031412001
3B4V_AB_C,3B4V_AB_C_seed_2746317213_sample_2_model.cif,84.2976,0.773861,0.736391,0.743885,84.11156126027397,429,2.329994548453649,2.227900461563307
3BK3_A_C,3BK3_A_C_seed_2746317213_sample_5_model.cif,88.667915,0.8005,0.773812,0.858097,92.56835975862072,171,1.6507729235036765,1.0788863203283066
3BN9_B_CD,3BN9_B_CD_seed_2746317213_sample_1_model.cif,90.543129,0.677279,0.588612,0.606345,74.90948089583334,662,3.227594052903754,2.702206937345284
3BT1_A_U,3BT1_A_U_seed_2746317213_sample_5_model.cif,79.824341,0.585976,0.456401,0.482316,77.8086738448276,398,23.649483608789552,20.255221394092185
3BX1_A_C,3BX1_A_C_seed_2746317213_sample_2_model.cif,93.29808,0.939259,0.936749,0.937251,95.88124941463415,450,1.3535427088705294,0.7336702781407576
3C60_CD_AB,3C60_CD_AB_seed_2746317213_sample_5_model.cif,91.787498,0.86497,0.84087,0.856693,80.1540623030303,818,4.471445344668298,9.31812385771274
3D3V_ABC_DE,3D3V_ABC_DE_seed_2746317213_sample_4_model.cif,93.701492,0.894729,0.880415,0.888109,90.03599645238096,828,1.0066010291712437,0.9093206816949788
3EQS_A_B,3EQS_A_B_seed_2746317213_sample_3_model.cif,95.206589,0.919199,0.893828,0.956797,96.8948753478261,95,0.46433301752481254,0.3823598138125819
3EQY_A_C,3EQY_A_C_seed_2746317213_sample_5_model.cif,95.367569,0.917892,0.875505,0.946482,96.01190113636362,96,0.7930793515282508,0.5884479946764919
3F1S_A_B,3F1S_A_B_seed_2746317213_sample_2_model.cif,88.734879,0.913499,0.909716,0.91746,94.54002367391304,644,1.9915375706880414,0.9600908852943988
3HFM_HL_Y,3HFM_HL_Y_seed_2746317213_sample_4_model.cif,93.067894,0.851504,0.838778,0.841323,92.01728515789473,558,1.2991538019250297,1.1092507963800762
3HH2_AB_C,3HH2_AB_C_seed_2746317213_sample_1_model.cif,76.304703,0.580769,0.561365,0.565245,75.25648716455697,496,24.33538328850592,31.79471530687458
3KBH_A_E,3KBH_A_E_seed_2746317213_sample_5_model.cif,84.236832,0.716125,0.18579,0.291857,70.96516888571428,703,18.143724916666184,13.823107977276644
3KUD_A_B,3KUD_A_B_seed_2746317213_sample_4_model.cif,87.80909,0.877859,0.822819,0.833827,88.51672613043478,241,1.2728049356816231,1.1736536714809744
3LB6_A_C,3LB6_A_C_seed_2746317213_sample_2_model.cif,87.007431,0.888952,0.881352,0.882872,94.96627105714285,361,3.3246512751952264,0.5822507279344665
3M62_A_B,3M62_A_B_seed_2746317213_sample_5_model.cif,88.732384,0.874219,0.932496,0.920841,90.48027087096776,1027,5.130319282020887,1.6665736966050886
3M63_A_B,3M63_A_B_seed_2746317213_sample_1_model.cif,89.008156,0.877939,0.94781,0.933836,93.34421096428571,1025,5.155485717184857,0.8956330564210396
3MZG_A_B,3MZG_A_B_seed_2746317213_sample_1_model.cif,90.752632,0.900148,0.886356,0.889115,94.53726941666666,392,1.330885640160279,0.39445632974258193
3NGB_HL_G,3NGB_HL_G_seed_2746317213_sample_3_model.cif,89.495361,0.851592,0.849421,0.849855,88.88976922807018,779,3.211975697366663,2.0118514812205497
3NPS_A_BC,3NPS_A_BC_seed_2746317213_sample_4_model.cif,91.103088,0.672937,0.593749,0.609587,79.27821153333333,678,6.526503616882694,4.573810916287503
3Q8D_A_E,3Q8D_A_E_seed_2746317213_sample_3_model.cif,90.483978,0.912254,0.735987,0.777651,84.9444076,234,2.0078996980299695,2.6490271711866593
3QHY_A_B,3QHY_A_B_seed_2746317213_sample_4_model.cif,90.451714,0.61783,0.258036,0.329995,81.09357999999999,529,14.240918101213014,13.234251069469302
3QIB_ABP_CD,3QIB_ABP_CD_seed_2746317213_sample_3_model.cif,89.754875,0.878654,0.860115,0.872009,80.9006705471698,794,2.118612466968288,1.167347334492797
3S9D_A_B,3S9D_A_B_seed_2746317213_sample_5_model.cif,85.340973,0.789321,0.778799,0.780903,90.81018156410256,307,1.8067044802423087,0.7541977445047482
3SE3_B_A,3SE3_B_A_seed_2746317213_sample_3_model.cif,80.122353,0.701268,0.594797,0.616091,78.0062433255814,413,2.993756078086589,1.553390337223718
3SE4_B_A,3SE4_B_A_seed_2746317213_sample_4_model.cif,80.410576,0.70687,0.591257,0.630734,83.05857142307693,428,16.944506150865347,9.66999208473556
3SE4_B_C,3SE4_B_C_seed_2746317213_sample_4_model.cif,86.266983,0.765525,0.737344,0.760999,91.43766820512819,333,14.303920416262011,1.0345578672675155
3SE8_HL_G,3SE8_HL_G_seed_2746317213_sample_3_model.cif,90.914406,0.887679,0.880056,0.88158,87.30318962295082,779,1.6732910487425872,1.1840400098857755
3SE9_HL_G,3SE9_HL_G_seed_2746317213_sample_4_model.cif,87.691032,0.730356,0.659233,0.673457,82.00569644230768,777,2.213401520917196,2.0006614824250817
3SEK_B_C,3SEK_B_C_seed_2746317213_sample_1_model.cif,78.296272,0.696468,0.685735,0.712075,74.9169065652174,310,4.03342476040547,4.850253967390145
3SF4_A_D,3SF4_A_D_seed_2746317213_sample_2_model.cif,90.369499,0.883873,0.823765,0.892036,88.6772953076923,400,1.8870014674498279,1.871665918911919
3SGB_E_I,3SGB_E_I_seed_2746317213_sample_2_model.cif,96.439507,0.95307,0.933176,0.943538,97.37303263333332,235,0.4076188494372133,0.31000765413321496
3SZK_AB_C,3SZK_AB_C_seed_2746317213_sample_2_model.cif,85.716537,0.826384,0.780559,0.789724,88.70039474074072,426,1.940793111295086,0.7474023371586895
3U82_A_B,3U82_A_B_seed_2746317213_sample_5_model.cif,88.847771,0.721522,0.748869,0.751874,82.6624793076923,531,1.9798016467574107,2.1512028838369273
3UIG_A_P,3UIG_A_P_seed_2746317213_sample_4_model.cif,92.694,0.874637,0.9158,0.968282,95.6874335,140,0.7752415567898061,0.3324682042329839
4B0M_A_BM,4B0M_A_BM_seed_2746317213_sample_1_model.cif,81.00721,0.85098,0.833707,0.863313,93.75663832558139,478,5.647175112630384,0.9348599570086636
4BFI_A_B,4BFI_A_B_seed_2746317213_sample_1_model.cif,89.613022,0.789107,0.768117,0.772315,92.1599536097561,394,4.095363205029814,3.4822102257797605
4CPA_A_I,4CPA_A_I_seed_2746317213_sample_3_model.cif,90.785751,0.912407,0.430111,0.52657,74.4386238846154,345,3.0065088293337268,5.998458924781164
4CVW_A_C,4CVW_A_C_seed_2746317213_sample_1_model.cif,92.048935,0.88883,0.246162,0.374695,78.78810003508772,975,8.491127384211163,13.994395712612329
4FTV_ABC_DE,4FTV_ABC_DE_seed_2746317213_sample_1_model.cif,94.957443,0.937064,0.931695,0.938197,97.18534462222223,829,1.3897817431591182,0.5395446099036845
4FZA_A_B,4FZA_A_B_seed_2746317213_sample_5_model.cif,87.169693,0.843874,0.821161,0.825704,89.41912575609756,605,3.3558687572276917,0.7780847066375493
4G0N_A_B,4G0N_A_B_seed_2746317213_sample_4_model.cif,88.608337,0.882055,0.833465,0.843183,88.15071228000001,242,1.1543657363348905,0.5988204124490922
4HFK_A_BD,4HFK_A_BD_seed_2746317213_sample_4_model.cif,88.875778,0.825591,0.784649,0.794246,88.03375179487179,355,1.0282612248190346,0.4720936043047947
4HRN_A_D,4HRN_A_D_seed_2746317213_sample_4_model.cif,85.609993,0.708463,0.335351,0.409974,77.70367285294118,191,14.380183926455581,12.566262417950679
4I77_HL_Z,4I77_HL_Z_seed_2746317213_sample_3_model.cif,82.836388,0.793968,0.702072,0.720451,56.244336880952375,534,7.537731150376021,11.722048821302497
4J2L_A_CD,4J2L_A_CD_seed_2746317213_sample_3_model.cif,91.046402,0.867626,0.845228,0.995906,95.04941457777778,171,2.1151831133613204,1.430139658678247
4JEU_A_B,4JEU_A_B_seed_2746317213_sample_2_model.cif,85.432014,0.867843,0.788178,0.804111,83.62037231313133,783,4.0885852663005435,8.877377000477553
4JFF_ABC_DE,4JFF_ABC_DE_seed_2746317213_sample_3_model.cif,93.075844,0.915385,0.90928,0.91654,90.86554713461538,828,2.1488697282756437,1.2401530810695092
4JGH_ABC_D,4JGH_ABC_D_seed_2746317213_sample_1_model.cif,88.609131,0.821634,0.872345,0.872462,92.53316602499999,731,4.249507345027195,1.9153300926212347
4KRO_A_B,4KRO_A_B_seed_2746317213_sample_4_model.cif,81.590637,0.511631,0.124818,0.202181,73.80909759375,686,27.557472656582384,21.978188640902804
4KRP_A_B,4KRP_A_B_seed_2746317213_sample_3_model.cif,85.157845,0.606668,0.557994,0.567728,78.92018851515151,650,26.59086807036637,18.095273946108406
4L3E_ABC_DE,4L3E_ABC_DE_seed_2746317213_sample_2_model.cif,94.22995,0.924342,0.9131,0.921402,92.63316426530614,826,1.1148268939928607,1.0493028030876497
4MNQ_ABC_DE,4MNQ_ABC_DE_seed_2746317213_sample_1_model.cif,92.690506,0.885043,0.860916,0.871196,90.6668602244898,825,2.6064380559580203,1.7718733138044382
4MYW_A_B,4MYW_A_B_seed_2746317213_sample_1_model.cif,84.142319,0.542025,0.191498,0.26908,72.42024364444444,535,23.57349432734888,26.238574295548528
4O27_A_B,4O27_A_B_seed_2746317213_sample_2_model.cif,86.631454,0.843046,0.820354,0.824892,86.15689992857143,606,3.4180375882573197,5.451592827351288
4OFY_A_D,4OFY_A_D_seed_2746317213_sample_4_model.cif,87.077049,0.653877,0.767835,0.745044,94.65881003030303,637,4.085972506559575,1.0622445299755472
4OZG_ABJ_GH,4OZG_ABJ_GH_seed_2746317213_sample_5_model.cif,92.777672,0.861335,0.825171,0.842923,86.5310245111111,808,1.8854199258199946,1.5165154342828582
4P23_CD_AB,4P23_CD_AB_seed_2746317213_sample_4_model.cif,92.286858,0.872665,0.848427,0.863678,78.99392602941177,817,4.391162112717529,9.583626605246392
4P5T_CD_AB,4P5T_CD_AB_seed_2746317213_sample_4_model.cif,91.480446,0.874059,0.851261,0.866891,81.61714747619047,813,4.133227930430711,10.027927185896893
4PWX_AB_CD,4PWX_AB_CD_seed_2746317213_sample_1_model.cif,80.860924,0.613991,0.514228,0.56241,80.795094,921,29.784747503965956,22.47338848880064
4RS1_A_B,4RS1_A_B_seed_2746317213_sample_5_model.cif,85.719498,0.857346,0.794405,0.806993,84.68825291666667,372,2.178255207599079,1.849934620203464
4YEB_A_B,4YEB_A_B_seed_2746317213_sample_3_model.cif,92.071701,0.883649,0.832005,0.842333,95.38588902272728,588,3.4791670213435983,1.125193359352449
4YFD_A_B,4YFD_A_B_seed_2746317213_sample_4_model.cif,87.277161,0.717876,0.745893,0.740289,89.894406984375,813,9.763700860219947,0.843632838123487
4YH7_A_B,4YH7_A_B_seed_2746317213_sample_1_model.cif,88.100075,0.686924,0.843956,0.81255,89.72609996774196,909,14.226820910428764,1.1776397984293947
4ZS6_HL_A,4ZS6_HL_A_seed_2746317213_sample_4_model.cif,87.620399,0.69587,0.590055,0.611218,71.91111096153847,638,11.133442748137451,6.2902697197277195
5C6T_HL_A,5C6T_HL_A_seed_2746317213_sample_5_model.cif,77.293709,0.468697,0.237837,0.298057,69.11968100000001,783,37.486144461627525,19.50263369498629
5F4E_A_B,5F4E_A_B_seed_2746317213_sample_1_model.cif,89.494331,0.848414,0.778423,0.792422,88.02801181578947,442,3.846941452632217,2.5706556156028753
5K39_A_B,5K39_A_B_seed_2746317213_sample_4_model.cif,85.397202,0.755671,0.577449,0.613094,80.77735290476191,320,1.0666640635149234,0.6466557992143883
5M2O_A_B,5M2O_A_B_seed_2746317213_sample_3_model.cif,94.663185,0.935022,0.917137,0.920714,98.10746107499999,211,0.8044986767118852,0.26199598624421644
5TAR_A_B,5TAR_A_B_seed_2746317213_sample_2_model.cif,81.397842,0.533778,0.643567,0.642693,83.24072993333333,332,16.38461768191126,2.7774446968700435
5XCO_A_B,5XCO_A_B_seed_2746317213_sample_4_model.cif,80.472839,0.837023,0.329606,0.465481,64.82423383333334,189,7.245801815473943,9.832917731669948
