backbone_id,complex_id,d,n_pairs,partial_T,irmsd,interface_ok,irmsd_bin
3BK3_A_C_T5_1,3BK3_A_C,0.6968280673027039,1,5,1.11277085996815,1,1-2
3BT1_A_U_T20_2,3BT1_A_U,0.8211953043937683,4,20,4.57025868676632,1,3-5
3KUD_A_B_T40_0,3KUD_A_B,-2.7408440113067627,1,40,11.1621011222674,0,>10
3LB6_A_C_T10_1,3LB6_A_C,-0.7065548896789546,1,10,25241.856236749893,0,>10
3LB6_A_C_T5_0,3LB6_A_C,-0.29973745346069336,1,5,1131.5403069230974,0,>10
3MZG_A_B_T20_1,3MZG_A_B,-0.23592138290405273,1,20,1821109.3494504653,0,>10
3Q8D_A_E_T0_0,3Q8D_A_E,-3.1647281646728516,1,0,6.678108377503979e-06,0,<1
3Q8D_A_E_T40_1,3Q8D_A_E,1.7488284111022954,1,40,20.76970002744724,0,>10
3S9D_A_B_T10_2,3S9D_A_B,-1.1961170434951782,2,10,33036.103799098026,0,>10
3S9D_A_B_T5_1,3S9D_A_B,0.8679484128952026,2,5,1534.026279163358,0,>10
3SE4_B_C_T20_2,3SE4_B_C,-0.35224485397338867,1,20,1688310.3980893297,0,>10
4BFI_A_B_T40_0,4BFI_A_B,-0.06134176254272461,3,40,52287257.18397825,0,>10
4G0N_A_B_T20_1,4G0N_A_B,-0.8234281539916992,1,20,3.011440689264492,1,3-5
4HFK_A_BD_T0_0,4HFK_A_BD,1.5633951326211293,3,0,8.232743919527755e-07,1,<1
4HFK_A_BD_T40_1,4HFK_A_BD,0.0982968807220459,3,40,53345642.142816745,0,>10
4HRN_A_D_T10_2,4HRN_A_D,0.018475770950317383,1,10,25923.71452731456,0,>10
4HRN_A_D_T5_1,4HRN_A_D,0.6037874221801758,1,5,1126.3880656612268,0,>10
5M2O_A_B_T40_0,5M2O_A_B,0.42118632793426514,2,40,32.544333003126184,0,>10
5TAR_A_B_T10_1,5TAR_A_B,0.8307657241821289,1,10,1.553397272790091,1,1-2
5TAR_A_B_T5_0,5TAR_A_B,1.7107491493225098,1,5,0.574630439786569,1,<1
1A22_A_B_T10_0,1A22_A_B,-0.6663620620965958,7,10,1.4203182909129046,1,1-2
1A22_A_B_T40_2,1A22_A_B,-0.9439255169459752,7,40,22.88263096306452,1,>10
1BP3_A_B_T40_0,1BP3_A_B,-0.13556747436523436,5,40,53134391.687192194,0,>10
1BRS_A_D_T10_1,1BRS_A_D,1.474105566740036,2,10,1.866393580870155,1,1-2
1BRS_A_D_T5_0,1BRS_A_D,0.8244717121124268,2,5,1.5188232235196415,1,1-2
1E50_A_B_T20_2,1E50_A_B,0.6980060338973999,2,20,2.292391218609136,1,2-3
1EMV_A_B_T10_0,1EMV_A_B,1.0492062568664542,1,10,31252.00041695805,0,>10
1EMV_A_B_T40_2,1EMV_A_B,1.0688905715942383,1,40,55042140.332415424,0,>10
1FCC_A_C_T40_0,1FCC_A_C,-0.7017285823822021,1,40,16.821787374512574,0,>10
1GUA_A_B_T0_0,1GUA_A_B,-0.7420961856842041,1,0,1.0259907057562643e-06,1,<1
1GUA_A_B_T40_1,1GUA_A_B,0.5135529041290279,1,40,18.374586593419107,1,>10
1H9D_A_B_T10_2,1H9D_A_B,-1.5299951955676079,2,10,2.5004930191238794,1,2-3
1H9D_A_B_T5_1,1H9D_A_B,0.13592209666967414,2,5,1.3274216304568816,1,1-2
1IAR_A_B_T20_2,1IAR_A_B,-0.4864022731781006,1,20,1781211.6065075088,0,>10
1K8R_A_B_T10_0,1K8R_A_B,1.7387909889221191,1,10,28337.986542006245,0,>10
1K8R_A_B_T40_2,1K8R_A_B,1.2490630149841309,1,40,57725085.448384255,0,>10
1LFD_A_B_T40_0,1LFD_A_B,-0.4552350044250484,1,40,56675447.72497451,0,>10
1S1Q_A_B_T10_2,1S1Q_A_B,1.3991427421569833,1,10,29376.7117316861,0,>10
1S1Q_A_B_T5_1,1S1Q_A_B,0.5579724311828609,1,5,1250.900110081942,0,>10
1VFB_AB_C_T40_0,1VFB_AB_C,-0.8792135715484619,1,40,57578492.581554376,0,>10
2A9K_A_B_T10_1,2A9K_A_B,-0.03883135318756081,1,10,1.6681432762240611,0,1-2
2A9K_A_B_T5_0,2A9K_A_B,-0.05035090446472168,1,5,1.0372884246867848,1,1-2
2GOX_A_B_T10_2,2GOX_A_B,-0.9711549282073975,1,10,2.12171117398158,1,2-3
2GOX_A_B_T5_1,2GOX_A_B,0.0528916120529177,1,5,1.660879919078008,1,1-2
2J0T_A_D_T20_2,2J0T_A_D,-1.228082895278931,1,20,1543883.239848624,0,>10
2WPT_A_B_T10_0,2WPT_A_B,-0.37433377901713044,6,10,30700.6408996846,0,>10
2WPT_A_B_T40_2,2WPT_A_B,-0.2984405755996706,6,40,57501701.00238247,0,>10
3BK3_A_C_T20_0,3BK3_A_C,1.4930839538574219,1,20,3.876707738909831,1,3-5
3BK3_A_C_T5_2,3BK3_A_C,1.0611985921859741,1,5,1.4981924286270734,1,1-2
3BT1_A_U_T40_0,3BT1_A_U,-0.6520336270332335,4,40,15.50376546619857,1,>10
3KUD_A_B_T0_0,3KUD_A_B,0.4114021062850952,1,0,9.406591880595474e-07,0,<1
3KUD_A_B_T40_1,3KUD_A_B,-1.204033613204956,1,40,13.342581111813544,0,>10
3LB6_A_C_T10_2,3LB6_A_C,-0.885704517364502,1,10,24979.012684026013,0,>10
3LB6_A_C_T5_1,3LB6_A_C,-0.36896729469299316,1,5,1181.4368158429595,0,>10
3MZG_A_B_T20_2,3MZG_A_B,-0.5240883827209464,1,20,1778519.0655649628,0,>10
3Q8D_A_E_T10_0,3Q8D_A_E,-2.2500858306884766,1,10,2.4477284553994787,0,2-3
3Q8D_A_E_T40_2,3Q8D_A_E,0.5281844139099121,1,40,14.17541189640644,0,>10
3S9D_A_B_T20_0,3S9D_A_B,-0.9294925928115845,2,20,1714721.0485407417,0,>10
3S9D_A_B_T5_2,3S9D_A_B,0.4311920404434204,2,5,1551.7446188127697,0,>10
3SE4_B_C_T40_0,3SE4_B_C,0.155495166778564,1,40,51668773.22282916,0,>10
4BFI_A_B_T0_0,4BFI_A_B,0.7693710078795751,3,0,1.1243174800413152e-06,1,<1
4G0N_A_B_T20_2,4G0N_A_B,-0.45172548294067383,1,20,5.831608206041171,1,5-10
4HFK_A_BD_T10_0,4HFK_A_BD,0.43943635622660376,3,10,30662.780098441526,0,>10
4HFK_A_BD_T40_2,4HFK_A_BD,-0.01338799794514974,3,40,52542596.59056809,0,>10
4HRN_A_D_T20_0,4HRN_A_D,-0.8491384983062744,1,20,1399486.1642110192,0,>10
4HRN_A_D_T5_2,4HRN_A_D,-0.1994311809539795,1,5,1123.112587921853,0,>10
5M2O_A_B_T0_0,5M2O_A_B,0.6656549572944641,2,0,1.2199952127916285e-06,1,<1
5M2O_A_B_T40_1,5M2O_A_B,-0.9415160417556765,2,40,17.897607177946604,1,>10
5TAR_A_B_T10_2,5TAR_A_B,1.1459839344024658,1,10,1.979030870462594,1,1-2
5TAR_A_B_T5_1,5TAR_A_B,1.7207462787628178,1,5,0.9099092474489476,1,<1
1A22_A_B_T10_1,1A22_A_B,0.544013500213623,7,10,1.9344850382728151,1,1-2
1A22_A_B_T5_0,1A22_A_B,-0.35208848118782043,7,5,0.9777997628904944,1,<1
1BP3_A_B_T0_0,1BP3_A_B,0.011397516727447465,5,0,1.2125980623458912e-06,1,<1
1BP3_A_B_T40_1,1BP3_A_B,-0.017066812515258788,5,40,52757766.162514925,0,>10
1BRS_A_D_T10_2,1BRS_A_D,-1.1948113441467283,2,10,1.295663733664735,1,1-2
1BRS_A_D_T5_1,1BRS_A_D,-2.040398895740509,2,5,1.427560411121751,1,1-2
1E50_A_B_T40_0,1E50_A_B,0.30909132957458496,2,40,15.788601168872049,1,>10
1EMV_A_B_T10_1,1EMV_A_B,0.40228962898254395,1,10,32020.48026861108,0,>10
1EMV_A_B_T5_0,1EMV_A_B,0.5630497932434082,1,5,1380.4892695931098,0,>10
1FCC_A_C_T0_0,1FCC_A_C,0.1451371908187864,1,0,5.239629924599173e-07,1,<1
1FCC_A_C_T40_1,1FCC_A_C,1.4521663188934326,1,40,37.52916933518312,0,>10
1GUA_A_B_T10_0,1GUA_A_B,0.4577016830444336,1,10,1.4962889306587088,1,1-2
1GUA_A_B_T40_2,1GUA_A_B,-0.39965844154357955,1,40,23.58330955699828,0,>10
1H9D_A_B_T20_0,1H9D_A_B,-1.4125282391905785,2,20,6.247156221536902,1,5-10
1H9D_A_B_T5_2,1H9D_A_B,-0.646433912217617,2,5,1.413166749458033,1,1-2
1IAR_A_B_T40_0,1IAR_A_B,0.7134687900543213,1,40,52397046.57307619,0,>10
1K8R_A_B_T10_1,1K8R_A_B,1.6914868354797363,1,10,28799.222805304507,0,>10
1K8R_A_B_T5_0,1K8R_A_B,1.0874090194702148,1,5,1186.6746797914311,0,>10
1LFD_A_B_T0_0,1LFD_A_B,3.764548659324646,1,0,2.700957560933187e-06,1,<1
1LFD_A_B_T40_1,1LFD_A_B,0.16173601150512695,1,40,53607619.42337649,0,>10
1S1Q_A_B_T20_0,1S1Q_A_B,0.9987711906433105,1,20,1673637.1589704975,0,>10
1S1Q_A_B_T5_2,1S1Q_A_B,1.3843531608581543,1,5,1267.6992115170367,0,>10
1VFB_AB_C_T0_0,1VFB_AB_C,0.6391289234161377,1,0,1.2462655772453835e-06,1,<1
1VFB_AB_C_T40_1,1VFB_AB_C,0.38434314727783203,1,40,52157723.846893325,0,>10
2A9K_A_B_T10_2,2A9K_A_B,-0.2099006175994873,1,10,1.838765531259443,1,1-2
2A9K_A_B_T5_1,2A9K_A_B,-0.33011698722839355,1,5,1.1027233409841484,1,1-2
2GOX_A_B_T20_0,2GOX_A_B,-0.4843968152999878,1,20,3.498317701173839,0,3-5
2GOX_A_B_T5_2,2GOX_A_B,0.4001343250274658,1,5,0.9542817958480848,1,<1
2J0T_A_D_T40_0,2J0T_A_D,-0.2758347988128662,1,40,48290391.61758961,0,>10
2WPT_A_B_T10_1,2WPT_A_B,-0.4766127665837605,6,10,30495.867702069256,0,>10
2WPT_A_B_T5_0,2WPT_A_B,-0.3770565589269002,6,5,1373.7154144504566,0,>10
3BK3_A_C_T20_1,3BK3_A_C,3.0984222292900085,1,20,5.379960527414402,1,5-10
3BT1_A_U_T0_0,3BT1_A_U,-0.10621833056211438,4,0,1.025899253001808e-06,1,<1
3BT1_A_U_T40_1,3BT1_A_U,-0.3213436603546139,4,40,22.28731504014886,0,>10
3KUD_A_B_T10_0,3KUD_A_B,-1.5009958744049072,1,10,1.852370414450116,0,1-2
3KUD_A_B_T40_2,3KUD_A_B,-0.5778093338012695,1,40,15.8644334005261,0,>10
3LB6_A_C_T20_0,3LB6_A_C,-2.3605622053146362,1,20,1431157.4456028966,0,>10
3LB6_A_C_T5_2,3LB6_A_C,-2.3753244876861577,1,5,1201.2205757211257,0,>10
3MZG_A_B_T40_0,3MZG_A_B,-0.673837184906005,1,40,55424191.74034208,0,>10
3Q8D_A_E_T10_1,3Q8D_A_E,-2.868459105491638,1,10,2.1237072429661006,0,2-3
3Q8D_A_E_T5_0,3Q8D_A_E,-3.3895318508148193,1,5,1.2356049261926636,0,1-2
3S9D_A_B_T20_1,3S9D_A_B,-0.1566944122314453,2,20,1735456.3786903874,0,>10
3SE4_B_C_T0_0,3SE4_B_C,-0.46209573745727495,1,0,1.4628640419581163e-06,1,<1
3SE4_B_C_T40_1,3SE4_B_C,-1.2391047477722168,1,40,52495245.19950874,0,>10
4BFI_A_B_T10_0,4BFI_A_B,-0.5958780447642006,3,10,40038.72197787256,0,>10
4BFI_A_B_T40_2,4BFI_A_B,0.45958828926086454,3,40,54852627.36372224,0,>10
4G0N_A_B_T40_0,4G0N_A_B,0.09510421752929732,1,40,15.849620053147367,1,>10
4HFK_A_BD_T10_1,4HFK_A_BD,0.880686362584432,3,10,29979.802175119155,0,>10
4HFK_A_BD_T5_0,4HFK_A_BD,-0.13651696840922067,3,5,1308.3909564573955,0,>10
4HRN_A_D_T20_1,4HRN_A_D,-0.33379077911376953,1,20,1587936.7691738163,0,>10
5M2O_A_B_T10_0,5M2O_A_B,0.6171780824661255,2,10,1.2921022112553735,1,1-2
5M2O_A_B_T40_2,5M2O_A_B,0.010697603225708674,2,40,19.21055022524827,0,>10
5TAR_A_B_T20_0,5TAR_A_B,1.4648582935333252,1,20,7.286571344430786,0,5-10
5TAR_A_B_T5_2,5TAR_A_B,1.287811517715454,1,5,0.816994620252557,1,<1
1A22_A_B_T10_2,1A22_A_B,-0.2502464119877134,7,10,1.42890181257192,1,1-2
1A22_A_B_T5_1,1A22_A_B,-0.2943215093442371,7,5,1.2079350320054372,1,1-2
1BP3_A_B_T10_0,1BP3_A_B,-0.4944154739379882,5,10,30615.305513963016,0,>10
1BP3_A_B_T40_2,1BP3_A_B,-0.10825090408325196,5,40,52202642.6067409,0,>10
1BRS_A_D_T20_0,1BRS_A_D,-2.1623525917530064,2,20,2.838220552474912,1,2-3
1BRS_A_D_T5_2,1BRS_A_D,-1.2334870398044586,2,5,1.0712591861058507,1,1-2
1E50_A_B_T0_0,1E50_A_B,-1.3279630839824674,2,0,1.3316565090839734e-06,1,<1
1E50_A_B_T40_1,1E50_A_B,1.2421352863311768,2,40,7.288254094944161,1,5-10
1EMV_A_B_T10_2,1EMV_A_B,0.4778940677642822,1,10,31392.72656680376,0,>10
1EMV_A_B_T5_1,1EMV_A_B,0.5717110633850098,1,5,1426.7055785993405,0,>10
1FCC_A_C_T10_0,1FCC_A_C,-0.44636058807373136,1,10,1.6923415477128212,1,1-2
1FCC_A_C_T40_2,1FCC_A_C,-2.551384925842285,1,40,30.39472005703104,0,>10
1GUA_A_B_T10_1,1GUA_A_B,-0.12514495849609375,1,10,2.1955412444713502,1,2-3
1GUA_A_B_T5_0,1GUA_A_B,0.19272303581237793,1,5,1.2664615450766312,1,1-2
1H9D_A_B_T20_1,1H9D_A_B,-0.6361747980117798,2,20,3.2095375928788497,1,3-5
1IAR_A_B_T0_0,1IAR_A_B,0.7584847211837769,1,0,6.867811509089473e-07,1,<1
1IAR_A_B_T40_1,1IAR_A_B,0.15242552757263095,1,40,53700219.50412194,0,>10
1K8R_A_B_T10_2,1K8R_A_B,1.3074145317077637,1,10,28378.64983884873,0,>10
1K8R_A_B_T5_1,1K8R_A_B,1.0128874778747559,1,5,1195.2201378787634,0,>10
1LFD_A_B_T10_0,1LFD_A_B,-0.7088100910186768,1,10,30473.23231755175,0,>10
1S1Q_A_B_T20_1,1S1Q_A_B,1.1765718460083012,1,20,1708322.670104841,0,>10
1VFB_AB_C_T10_0,1VFB_AB_C,0.7928318977355953,1,10,30463.95826231352,0,>10
1VFB_AB_C_T40_2,1VFB_AB_C,0.0811705589294438,1,40,52184881.50550071,0,>10
2A9K_A_B_T20_0,2A9K_A_B,-2.322588562965393,1,20,2.187316781768856,0,2-3
2A9K_A_B_T5_2,2A9K_A_B,0.782231330871582,1,5,1.7995910933717998,1,1-2
2GOX_A_B_T20_1,2GOX_A_B,0.30849170684814475,1,20,2.6563526642814392,0,2-3
2J0T_A_D_T0_0,2J0T_A_D,2.4611668586730957,1,0,1.14339935321731e-06,1,<1
2J0T_A_D_T40_1,2J0T_A_D,-0.5203320980072017,1,40,53411224.83478878,0,>10
2WPT_A_B_T10_2,2WPT_A_B,-0.47811488310496014,6,10,30460.55422527446,0,>10
2WPT_A_B_T5_1,2WPT_A_B,-0.3907677332560224,6,5,1412.4586986122308,0,>10
3BK3_A_C_T20_2,3BK3_A_C,1.073665380477905,1,20,2.599902444169256,1,2-3
3BT1_A_U_T10_0,3BT1_A_U,0.07661110162734963,4,10,1.2399695110242033,1,1-2
3BT1_A_U_T40_2,3BT1_A_U,-1.299846887588501,4,40,22.72881775945635,0,>10
3KUD_A_B_T10_1,3KUD_A_B,0.07841920852661222,1,10,1.5567390999925457,0,1-2
3KUD_A_B_T5_0,3KUD_A_B,-0.7402427196502686,1,5,0.909680858316524,0,<1
3LB6_A_C_T20_1,3LB6_A_C,-0.5975322723388676,1,20,1387316.4650590844,0,>10
3MZG_A_B_T0_0,3MZG_A_B,-0.4636310338973999,1,0,1.2754763567770122e-06,1,<1
3MZG_A_B_T40_1,3MZG_A_B,0.507962942123414,1,40,55482301.85303012,0,>10
3Q8D_A_E_T10_2,3Q8D_A_E,-2.492535352706909,1,10,2.031152528316928,0,2-3
3Q8D_A_E_T5_1,3Q8D_A_E,-1.486595869064331,1,5,1.599165921000622,0,1-2
3S9D_A_B_T20_2,3S9D_A_B,-0.13935959339141846,2,20,1654305.46650716,0,>10
3SE4_B_C_T10_0,3SE4_B_C,0.7213459014892578,1,10,32688.26744328552,0,>10
3SE4_B_C_T40_2,3SE4_B_C,-0.630567073822021,1,40,53434948.963667706,0,>10
4BFI_A_B_T10_1,4BFI_A_B,-0.15898291269938167,3,10,40189.74254547132,0,>10
4BFI_A_B_T5_0,4BFI_A_B,-0.16821622848510756,3,5,1881.187623524995,0,>10
4G0N_A_B_T0_0,4G0N_A_B,-1.2933404445648191,1,0,1.4193808926895431e-06,1,<1
4G0N_A_B_T40_1,4G0N_A_B,-0.14595842361450195,1,40,18.04020309700507,1,>10
4HFK_A_BD_T10_2,4HFK_A_BD,0.02135316530863444,3,10,29401.80913146769,0,>10
4HFK_A_BD_T5_1,4HFK_A_BD,-0.11765519777933757,3,5,1332.068097035379,0,>10
4HRN_A_D_T20_2,4HRN_A_D,0.07952642440795898,1,20,1591420.595079252,0,>10
5M2O_A_B_T10_1,5M2O_A_B,0.9963204860687256,2,10,1.6620394717842666,1,1-2
5M2O_A_B_T5_0,5M2O_A_B,0.6772748678922653,2,5,0.8784335080110209,1,<1
5TAR_A_B_T20_1,5TAR_A_B,-1.121121883392334,1,20,2.431744288601483,1,2-3
1A22_A_B_T20_0,1A22_A_B,0.2719900256821086,7,20,3.58729148451003,1,3-5
1A22_A_B_T5_2,1A22_A_B,-0.20844505514417375,7,5,1.347884327954007,1,1-2
1BP3_A_B_T10_1,1BP3_A_B,-0.24525547027587882,5,10,30500.7196692814,0,>10
1BP3_A_B_T5_0,1BP3_A_B,0.38117489814758293,5,5,1468.0426037045863,0,>10
1BRS_A_D_T20_1,1BRS_A_D,0.6230520606040956,2,20,3.638794827402586,1,3-5
1E50_A_B_T10_0,1E50_A_B,-0.8091397881507874,2,10,1.3018227519383287,1,1-2
1E50_A_B_T40_2,1E50_A_B,-1.834255367517471,2,40,17.79554347316008,1,>10
1EMV_A_B_T20_0,1EMV_A_B,0.45424628257751465,1,20,1793981.134091774,0,>10
1EMV_A_B_T5_2,1EMV_A_B,0.4503271579742423,1,5,1442.754979936093,0,>10
1FCC_A_C_T10_1,1FCC_A_C,-0.5655899047851562,1,10,1.5305951692501,1,1-2
1FCC_A_C_T5_0,1FCC_A_C,-0.7992653846740723,1,5,1.4549147349311575,1,1-2
1GUA_A_B_T10_2,1GUA_A_B,-0.573420286178588,1,10,1.3423919616704252,1,1-2
1GUA_A_B_T5_1,1GUA_A_B,0.38927698135375977,1,5,1.151958995795208,1,1-2
1H9D_A_B_T20_2,1H9D_A_B,0.29051867127418535,2,20,3.261320950044266,1,3-5
1IAR_A_B_T10_0,1IAR_A_B,-0.305067777633667,1,10,34827.725691995176,0,>10
1IAR_A_B_T40_2,1IAR_A_B,0.9612219333648682,1,40,51827315.29384766,0,>10
1K8R_A_B_T20_0,1K8R_A_B,1.4488487243652344,1,20,1614442.1583110355,0,>10
1K8R_A_B_T5_2,1K8R_A_B,0.6149821281433105,1,5,1218.2565526254084,0,>10
1LFD_A_B_T10_1,1LFD_A_B,-0.4194645881652832,1,10,29905.757225301564,0,>10
1LFD_A_B_T5_0,1LFD_A_B,-0.28426432609558105,1,5,1428.9731130382474,0,>10
1S1Q_A_B_T20_2,1S1Q_A_B,1.0020849704742432,1,20,1613409.97649712,0,>10
1VFB_AB_C_T10_1,1VFB_AB_C,0.9523191452026367,1,10,30998.623321786505,0,>10
1VFB_AB_C_T5_0,1VFB_AB_C,0.1862328052520752,1,5,1420.9095883199805,0,>10
2A9K_A_B_T20_1,2A9K_A_B,1.4194933772087097,1,20,2.861657172172078,1,2-3
2GOX_A_B_T20_2,2GOX_A_B,1.3568094968795776,1,20,4.960460281561949,0,3-5
2J0T_A_D_T10_0,2J0T_A_D,-0.5467584133148193,1,10,29119.74423050128,0,>10
2J0T_A_D_T40_2,2J0T_A_D,-0.645066499710083,1,40,50691224.36401125,0,>10
2WPT_A_B_T20_0,2WPT_A_B,-0.45861101150512673,6,20,1806235.4608152315,0,>10
2WPT_A_B_T5_2,2WPT_A_B,-0.3438499371210735,6,5,1428.396796819008,0,>10
3BK3_A_C_T40_0,3BK3_A_C,0.6661844253540039,1,40,18.83061594099728,0,>10
3BT1_A_U_T10_1,3BT1_A_U,-0.3922632634639741,4,10,1.6325389568508455,1,1-2
3BT1_A_U_T5_0,3BT1_A_U,-0.14160367846488964,4,5,0.7677329381814119,1,<1
3KUD_A_B_T10_2,3KUD_A_B,0.3018615245819092,1,10,1.623331047895581,0,1-2
3KUD_A_B_T5_1,3KUD_A_B,-0.8195109367370614,1,5,0.9872060921469512,0,<1
3LB6_A_C_T20_2,3LB6_A_C,-0.6880993843078613,1,20,1335924.1730119186,0,>10
3MZG_A_B_T10_0,3MZG_A_B,-0.8481159210205078,1,10,31547.686079221712,0,>10
3MZG_A_B_T40_2,3MZG_A_B,-0.4393136501312256,1,40,59264424.66897334,0,>10
3Q8D_A_E_T20_0,3Q8D_A_E,0.6368924379348755,1,20,5.39908100089424,0,5-10
3Q8D_A_E_T5_2,3Q8D_A_E,-1.4427869319915771,1,5,1.6711071849146415,0,1-2
3SE4_B_C_T10_1,3SE4_B_C,0.3307368755340572,1,10,33372.49432572897,0,>10
3SE4_B_C_T5_0,3SE4_B_C,0.5007545948028569,1,5,1571.6434846508785,0,>10
4BFI_A_B_T10_2,4BFI_A_B,0.61837895711263,3,10,39962.07432502614,0,>10
4BFI_A_B_T5_1,4BFI_A_B,0.02300572395324707,3,5,1879.827426781968,0,>10
4G0N_A_B_T10_0,4G0N_A_B,0.16157054901123047,1,10,1.7636176897588232,1,1-2
4G0N_A_B_T40_2,4G0N_A_B,-2.0693042278289795,1,40,13.37274289384916,1,>10
4HFK_A_BD_T20_0,4HFK_A_BD,-0.0611263116200765,3,20,1693666.1470317987,0,>10
4HFK_A_BD_T5_2,4HFK_A_BD,-0.09314441680908203,3,5,1335.794668352316,0,>10
4HRN_A_D_T40_0,4HRN_A_D,-0.20284438133239746,1,40,56960486.11782604,0,>10
5M2O_A_B_T10_2,5M2O_A_B,0.876731961965561,2,10,2.0894784423224,1,2-3
5M2O_A_B_T5_1,5M2O_A_B,0.8331497013568878,2,5,1.1438540717782235,1,1-2
5TAR_A_B_T20_2,5TAR_A_B,1.6409804821014413,1,20,2.319542940466434,1,2-3
1A22_A_B_T20_1,1A22_A_B,-1.7533568739891052,7,20,2.390408350846581,1,2-3
1BP3_A_B_T10_2,1BP3_A_B,0.3469157695770261,5,10,30603.946900366383,0,>10
1BP3_A_B_T5_1,1BP3_A_B,0.5756211280822754,5,5,1478.9437613097134,0,>10
1BRS_A_D_T20_2,1BRS_A_D,-0.6387333869934082,2,20,3.621947187709191,1,3-5
1E50_A_B_T10_1,1E50_A_B,-0.43863481283187866,2,10,1.534201270036584,1,1-2
1E50_A_B_T5_0,1E50_A_B,-0.2748260796070099,2,5,1.0503748101386083,1,1-2
1EMV_A_B_T20_1,1EMV_A_B,0.5382318496704106,1,20,1788824.5950709071,0,>10
1FCC_A_C_T10_2,1FCC_A_C,-1.2818245887756348,1,10,1.740877331226586,1,1-2
1FCC_A_C_T5_1,1FCC_A_C,-1.279358386993409,1,5,1.213603272129837,1,1-2
1GUA_A_B_T20_0,1GUA_A_B,0.6707639694213867,1,20,2.465029540754926,1,2-3
1GUA_A_B_T5_2,1GUA_A_B,-1.9289000034332275,1,5,1.382542346800396,1,1-2
1H9D_A_B_T40_0,1H9D_A_B,-0.004359245300292969,2,40,26.207873882017044,0,>10
1IAR_A_B_T10_1,1IAR_A_B,0.05993962287902832,1,10,34899.7691516135,0,>10
1IAR_A_B_T5_0,1IAR_A_B,-0.16637229919433594,1,5,1609.3798652127325,0,>10
1K8R_A_B_T20_1,1K8R_A_B,1.1135234832763672,1,20,1628857.392123561,0,>10
1LFD_A_B_T10_2,1LFD_A_B,-0.7141387462615962,1,10,29444.692074001505,0,>10
1LFD_A_B_T5_1,1LFD_A_B,-0.5392484664916992,1,5,1424.571229194327,0,>10
1S1Q_A_B_T40_0,1S1Q_A_B,1.3589861392974854,1,40,61974888.7087895,0,>10
1VFB_AB_C_T10_2,1VFB_AB_C,1.895777940750122,1,10,30484.644185820674,0,>10
1VFB_AB_C_T5_1,1VFB_AB_C,1.9081335067749028,1,5,1403.1966702477705,0,>10
2A9K_A_B_T20_2,2A9K_A_B,0.6277362108230586,1,20,2.235777003671211,1,2-3
2GOX_A_B_T40_0,2GOX_A_B,0.22130846977233842,1,40,26.79221288467002,0,>10
